,created_at,username,tweet,language,replies_count,retweets_count,likes_count
266,2021-08-28 18:38:34 India Standard Time,imkarthick20,Have wonderful meet at tamilnadu health secretary @RAKRI1 sir .. covid19 vaccine camp nandhanam college campus #COVID19 #COVID19Vaccine  https://t.co/FHHauqfuWw,en,0,0,1
284,2021-08-31 02:27:38 India Standard Time,muqeetk35622287,The world is finally divided into two clear groups 1.the vaccinated ones waiting for the non vaccinated ones to die. 2.the non vaccinated ones waiting for the vaccinated ones to die. #covid-19,en,0,0,0
285,2021-08-31 01:48:01 India Standard Time,sahilsmishra,"@MumbaiPolice Respected @MumbaiPolice do visit once near  @advanilparab house look the gathering of volunteers, please do some legal action on that it's not about politics it's just for people who are standing for the minister they may be pay for it,  in the covid19 situation. Tim: 12pm to 9pm",en,0,0,2
15,2021-08-02 03:50:37 India Standard Time,azizalsalim,"@Invesquotes The goal is to choose the year that is closest to your baseline. For COVID beneficiaries, 2020 should have made them stronger and as a result more prepared for 2021 comps.",en,1,0,0
21,2021-08-05 05:14:07 India Standard Time,kimothib,"@ArvindKejriwal If it's against constitution, approach the SC, but don't try to misguide the people on covid.",en,0,0,0
23,2021-08-05 04:52:21 India Standard Time,hen_cheng,Malaysians are helpless &amp; do not take sides as it will not improve the unstable political situation People are just keeping quiet &amp; hope it will get better But the Covid is raging🔥👉👉 to huge economic shutdown People are suffering 😒😟,en,0,0,0
30,2021-08-05 04:02:40 India Standard Time,pati3nc3_n_life,"@MarkZim38825028 @CNN Propaganda? You Poor, poor soul, not everything you hear is false. I really hope COVID doesn’t find you. Sigh…I think you should respect others opinions just like you with for them to respect yours.",en,2,0,1
33,2021-08-05 03:54:59 India Standard Time,997hz,"Done. (@ COVID-19 Vaccine Center in Dammam, Ash Sharqiyah)  https://t.co/coUKk0yElk",en,1,0,0
42,2021-08-06 04:45:54 India Standard Time,tandaehan,Its hard not to feel anxious. Even if you try not to. COVID strikes our family quite hard,en,0,0,0
45,2021-08-06 04:18:39 India Standard Time,activistchandan,Completed the all doses of covid-19 vaccine. #vaccinationdone✔️ #covid_19 #health #vaccinationcenter #nurses  https://t.co/FeqLsVpDaa,en,0,0,2
46,2021-08-06 03:26:37 India Standard Time,seewithsound,Anecdotal: seeing some fully recovered post COVID pts with unexplained persistently low sats after elective cardiac surgery. Looking for shunts with micro bubbles.,en,0,0,0
