,tweet,clean_tweet,hastags,attherate,urls,emojis,tokenized_Tweet,filteredToken,label
1991,"Coronavirus: 24,882 fresh COVID-19 cases in India, nearly 7% higher than yesterday; 1.13 crore total cases, 1,58,446 deaths   https://t.co/oDTTrXIPcZ",coronaviru fresh covid case india nearli higher yesterday crore total case death ,[],[],['https://t.co/oDTTrXIPcZ'],[],"['coronavirus', 'fresh', 'covid', 'cases', 'in', 'india', 'nearly', 'higher', 'than', 'yesterday', 'crore', 'total', 'cases', 'deaths']","['coronavirus', 'fresh', 'covid', 'case', 'india', 'nearly', 'higher', 'yesterday', 'crore', 'total', 'case', 'death']",1
1996,"17,864 new coronavirus cases detected in Maharashtra today, 87 deaths reported  https://t.co/S0OiwBeVDk #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",new coronaviru case detect maharashtra today death report ,"['#Nifty', '#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/S0OiwBeVDk'],[],"['new', 'coronavirus', 'cases', 'detected', 'in', 'maharashtra', 'today', 'deaths', 'reported']","['new', 'coronavirus', 'case', 'detected', 'maharashtra', 'today', 'death', 'reported']",1
2081,"India Reports 40,953 New COVID Cases Highest Of 2021 @MoHFW_INDIA  #CoronaVirusUpdates #covid19cases #vaccinationdrive #coronavirus #COVID19India   https://t.co/ZmC6v1K6mG",india report new covid case highest ,"['#CoronaVirusUpdates', '#covid19cases', '#vaccinationdrive', '#coronavirus', '#COVID19India']",['@MoHFW_INDIA'],['https://t.co/ZmC6v1K6mG'],[],"['india', 'reports', 'new', 'covid', 'cases', 'highest', 'of']","['india', 'report', 'new', 'covid', 'case', 'highest']",1
2085,"Coronavirus News Live Updates: Delhi reports 823 new COVID-19 cases, 1 death in past 24 hours  https://t.co/QsXQxefgvB #Nifty #Sipgrab #UnitingPeopleWithThePossibilities",coronaviru news live updat delhi report new covid case death past hour ,"['#Nifty', '#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/QsXQxefgvB'],[],"['coronavirus', 'news', 'live', 'updates', 'delhi', 'reports', 'new', 'covid', 'cases', 'death', 'in', 'past', 'hours']","['coronavirus', 'news', 'live', 'update', 'delhi', 'report', 'new', 'covid', 'case', 'death', 'past', 'hour']",1
2098,"#Updated | #India reports 47,009 new cases of #Coronavirus and 213 related deaths, highest cases reported in a single day this year: COVID19org",report new case relat death highest case report singl day year covidorg ,"['#Updated', '#India', '#Coronavirus']",[],[],[],"['reports', 'new', 'cases', 'of', 'and', 'related', 'deaths', 'highest', 'cases', 'reported', 'in', 'a', 'single', 'day', 'this', 'year', 'covidorg']","['report', 'new', 'case', 'related', 'death', 'highest', 'case', 'reported', 'single', 'day', 'year', 'covidorg']",1
2166,"*FLASH*   India reports 43,810 new cases of Coronavirus and 190 related deaths, highest cases reported in a single day this year",flash india report new case coronaviru relat death highest case report singl day year ,[],[],[],[],"['flash', 'india', 'reports', 'new', 'cases', 'of', 'coronavirus', 'and', 'related', 'deaths', 'highest', 'cases', 'reported', 'in', 'a', 'single', 'day', 'this', 'year']","['flash', 'india', 'report', 'new', 'case', 'coronavirus', 'related', 'death', 'highest', 'case', 'reported', 'single', 'day', 'year']",1
2179,"Mumbai News Live: City reports 5,185 new coronavirus cases, six deaths - The Times of India  https://t.co/tMIjIEog1r",mumbai news live citi report new coronaviru case death time india ,[],[],['https://t.co/tMIjIEog1r'],[],"['mumbai', 'news', 'live', 'city', 'reports', 'new', 'coronavirus', 'cases', 'six', 'deaths', 'times', 'of', 'india']","['mumbai', 'news', 'live', 'city', 'report', 'new', 'coronavirus', 'case', 'six', 'death', 'time', 'india']",1
2185,"Highest one-day rise of 1,790 new coronavirus cases in #Gujarat, tally 2.92 lakh; toll 4,466 with 8 more deaths: Health Dept",highest oneday rise new coronaviru case talli lakh toll death health dept ,"['#Gujarat,']",[],[],[],"['highest', 'oneday', 'rise', 'of', 'new', 'coronavirus', 'cases', 'in', 'tally', 'lakh', 'toll', 'with', 'more', 'deaths', 'health', 'dept']","['highest', 'oneday', 'rise', 'new', 'coronavirus', 'case', 'tally', 'lakh', 'toll', 'death', 'health', 'dept']",1
2306,"West Bengal reports 639 new COVID-19 cases, Kolkata has 225 new cases",west bengal report new covid case kolkata new case ,[],[],[],[],"['west', 'bengal', 'reports', 'new', 'covid', 'cases', 'kolkata', 'has', 'new', 'cases']","['west', 'bengal', 'report', 'new', 'covid', 'case', 'kolkata', 'new', 'case']",1
2416,"West Bengal reports 639 new COVID-19 cases, Kolkata has 225 new cases",west bengal report new covid case kolkata new case ,[],[],[],[],"['west', 'bengal', 'reports', 'new', 'covid', 'cases', 'kolkata', 'has', 'new', 'cases']","['west', 'bengal', 'report', 'new', 'covid', 'case', 'kolkata', 'new', 'case']",1
