,tweet,clean_tweet,hastags,attherate,urls,emojis,label
120,@nimmaupendra First sanitize the food kits &amp; distribute. The recent report that this corona virus is transmitted to the 4 people through food kits provided by Annadani MLA in Muthtatti village of Ramanagar district.,sanit food kit distribut recent report corona viru transmit peopl food kit provid annadani mla muthtatti villag ramanagar district ,[],['@nimmaupendra'],[],[],2
123,Modi Virus Is Dangerous Than Corona Virus.  RT If You Feel The Same  #SaveLakshadweep #ModiFailedIndia #ModiMustResign #TwitterIndia  https://t.co/EsJB5k6FQ5,modi viru danger corona viru feel ,"['#SaveLakshadweep', '#ModiFailedIndia', '#ModiMustResign', '#TwitterIndia']",[],['https://t.co/EsJB5k6FQ5'],[],2
124,@Lotusfeetns @JhaSanjay Think bola upne. Rahulbaba is capable of doing any trick. He has mastary over tricky thing. This is the right time for Rahulbaba to show his maja skill and save the nation from onslaught of Corona virus. But all are eager to know has he taken his dose or not?,bola upn rahulbaba capabl trick mastari tricki thing time rahulbaba maja skill save nation onslaught corona viru eager dose ,[],"['@Lotusfeetns', '@JhaSanjay']",[],[],2
126,@brakoo DMK is the permanent corona virus of the universe,dmk perman corona viru univers ,[],['@brakoo'],[],[],2
127,"Hi iam #satish      @nss_valentry_unit2      #mrs_AVNcollege #Visakhapatnam We Conducted the ""swatch bharat; program in ""raitu market MVP colony Visakhapatnam as well as informed the people about corona virus We also told them to take proper care not to let the corona get our way  https://t.co/lgbk8suUC5",iam conduct swatch bharat program raitu market mvp coloni visakhapatnam inform peopl corona viru told proper care corona way ,"['#satish', '#mrs_AVNcollege', '#Visakhapatnam']",['@nss_valentry_unit2'],['https://t.co/lgbk8suUC5'],[],2
130,Karyakartas of Akhil Bharatiya Vidyarthi Parishad in Tihu has sanitized the town area to contain the spread of the corona virus. #ABVPForSociety #ABVPAssam  https://t.co/AxtrjMpyQZ,karyakarta akhil bharatiya vidyarthi parishad tihu sanit town area contain spread corona viru ,"['#ABVPForSociety', '#ABVPAssam']",[],['https://t.co/AxtrjMpyQZ'],[],2
133,Ok so like we keep getting variety of fugus while awaiting the 3rd wave of corona virus not to mention there is no vaccine available in the country n ppl were literally dying due to lack of oxygen but the govt is still choosing to take 12th boards exams #cancelclass12thboardexams,like varieti fugu await wave corona viru mention vaccin avail countri ppl liter die oxygen govt choos board exam ,['#cancelclass12thboardexams'],[],[],[],2
134,"Positive News: India reports 1.96 Lakh new cases, lowest in 41 days according to Union Health Ministry.   We will defeat Corona Virus together just Don't forget to wear Mask and follow covid related precautions. #COVID19 #CoronaUpdate #CoronavirusIndia",posit news india report lakh new case lowest day accord union health ministri defeat corona viru dont forget wear mask follow covid relat precaut ,"['#COVID19', '#CoronaUpdate', '#CoronavirusIndia']",[],[],[],2
149,@TRRaju1 @drharshvardhan @MoHFW_INDIA @PMOIndia Absolutely Right. Simultaneously SILENT Mental Health Pandemic is going on across India and day by day due to Corona Virus and it's effect on socio economic sphere resulting increased UNCERTAINTY among human lives may develop catastrophic effect on mental health of Citizens.,absolut simultan silent mental health pandem india day day corona viru effect socio econom sphere result increas uncertainti human life develop catastroph effect mental health citizen ,[],"['@TRRaju1', '@drharshvardhan', '@MoHFW_INDIA', '@PMOIndia']",[],[],2
152,Its been 15 months we’ve been wearing 😷 and yet the road ahead seems to be longer and dull. Science &amp; technology is still running behind the virus which keeps changing its original form in every country it visits! #CoronaVirus #CovidVariants,month weve wear road ahead longer dull scienc technolog viru keep chang origin form countri visit ,"['#CoronaVirus', '#CovidVariants']",[],[],['😷'],2
