,tweet,clean_tweet,hastags,attherate,urls,emojis,label
1323,"Trump has irreparably damaged USA. He called Mexicans thieves and rapists raising anti Latino sentiment, called Corona virus as Chinese virus and the Chinese Americans became targets for his followers. Supported White Nationalists and blacks became Targets. Nation stands divided",trump irrepar damag usa call mexican thief rapist rais anti latino sentiment call corona viru chines viru chines american target follow support white nationalist black target nation stand divid ,[],[],[],[],0
1324,"@himantabiswa @cmpatowary @CMOfficeAssam Hello Sir, I want to bring it to your notice that some people are taking advantage of the corona virus situation to loot the citizens. I am talking about the Buses that runs from Bongora to Dhupdhara. (1/4)",hello bring notic advantag corona viru situat loot citizen talk bongora dhupdhara ,[],"['@himantabiswa', '@cmpatowary', '@CMOfficeAssam']",[],[],0
1325,This is the first time in the history of English language that a question and the answer are exactly the same  Question: Who declared coronavirus is a pandemic ?  ANSWER: WHO declared coronavirus is a pandemic.,time histori english languag question answer exactli question declar pandem answer declar pandem ,[],[],[],[],0
1327,@BBC_HaveYourSay BBC does not cover the dire situation in USA due to Corona virus.? It was very very over reactive when in India the virus was at peak. SHOW THE WORLD THE MORTUARIES IN FLORIDA OVERFLOWING...@soutikBBC @geetapandeyBBC,bbc cover dire situat usa corona viru reactiv india viru peak world mortuari florida overflow ,[],"['@BBC_HaveYourSay', '@geetapandeyBBC']",[],[],0
1328,"🦠212 covid related deaths have been confirmed in SriLanka (27/8/2021), raising the coronavirus death toll in the country to 8,583. #LKA #SriLanka #COVID19SL #COVID19LK #COVID19 #coronavirus #CoronaVirusUpdate",covid relat confirm srilanka rais toll countri ,"['#LKA', '#SriLanka', '#COVID19SL', '#COVID19LK', '#COVID19', '#coronavirus', '#CoronaVirusUpdate']",[],[],['🦠'],0
1329,"Coronavirus in Pakistan: Govt sets price of booster dose at Rs1,270  https://t.co/Gl0QV5aBCp",pakistan govt set price booster dose ,[],[],['https://t.co/Gl0QV5aBCp'],[],0
1331,Modi Nation's March Against Coronavirus  https://t.co/m0b5CUbTWX  via NaMo App,modi nation march namo app ,[],[],['https://t.co/m0b5CUbTWX'],[],0
1332,Market in Thailand  @William67335893    https://t.co/Xm56IQTp7X #Thailand #Thai #thailandnews #Bangkok #seafood #Markets #downloadnow #Framed #streetphotography #streetphoto #COVID19 #Covid_19 #COVIDー19 #covid #lockdown #Corona #coronavirus #pandemic #pandemia #pandemiclife #trip,market thailand ,"['#Thailand', '#Thai', '#thailandnews', '#Bangkok', '#seafood', '#Markets', '#downloadnow', '#Framed', '#streetphotography', '#streetphoto', '#COVID19', '#Covid_19', '#COVIDー19', '#covid', '#lockdown', '#Corona', '#coronavirus', '#pandemic', '#pandemia', '#pandemiclife', '#trip']",['@William67335893'],['https://t.co/Xm56IQTp7X'],[],0
1333,"It's important to remember that #coronavirus hasn't gone away. We all need to follow the rules in place and continue to be careful. By doing this, we can help keep each other safe and avoid the need for future restrictions. @SaRDar___AjaZ  #7Sky #Covid19 #StaySafe #WearMask  https://t.co/ZaLw9vPye9",import rememb hasnt away follow rule place continu care help safe avoid futur restrict ,"['#coronavirus', '#7Sky', '#Covid19', '#StaySafe', '#WearMask']",['@SaRDar___AjaZ'],['https://t.co/ZaLw9vPye9'],[],0
1334,Find the best and cheapest Health insurance plan for Senior citizens. Cashless claim settlement. Person with Comorbites can also get insurance protection. Treatment for corona virus covered.  https://t.co/3tFSS02kQU,find best cheapest health insur plan senior citizen cashless claim settlement person comorbit insur protect treatment corona viru cover ,[],[],['https://t.co/3tFSS02kQU'],[],0
1335,U.S. intelligence community says cannot solve COVID mystery without China    https://t.co/Be6JsqUHO9  #COVID19 #China #coronavirus,intellig commun solv covid mysteri china ,"['#COVID19', '#China', '#coronavirus']",[],['https://t.co/Be6JsqUHO9'],[],0
1336,"The earthquakes, Coronavirus are The WRATH OF THE LAMB OF GOD and THE MIGHTIEST MIGHTIEST PROPHETS are the BEARERS of that WRATH.  When a nation does not listen to THE MESSENGERS OF YAHWEH asking them to repent, then they will bear THE WRATH OF GOD.#EternalPriestOfGod",earthquak wrath lamb god mightiest mightiest prophet bearer wrath nation listen messeng yahweh ask repent bear wrath god ,[],[],[],[],0
1337,"EN ..Coronavirus and the decisive explanatory-statement, and it is not a joke Imam Nasser Mohammad Al-Yemeni 26 - Ramadan - 1441 AH 19 - 05 - 2020 AD 06:37 pm #منشأ_كورونا_وسره_المكنون #منشا_كورونا_وسره_المكنون #KabulAiport  #KabulAirportBlast  #KabulAttack  #LISA  #love",decis explanatorystat joke imam nasser mohammad alyemeni ramadan ,"['#منشأ_كورونا_وسره_المكنون', '#منشا_كورونا_وسره_المكنون', '#KabulAiport', '#KabulAirportBlast', '#KabulAttack', '#LISA', '#love']",[],[],[],0
1338,"Coronavirus, Announcing time of its end to all the worlds.. Imam Mahdi Nasser Mohammad Al-Yemeni 27 - Jamad Awwal - 1442 AH 11 - 1 - 2021 AD 01:00 pm  https://t.co/7qePGVydr8 96 #منشأ_كورونا_وسره_المكنون #منشا_كورونا_وسره_المكنون   7R9nSK",announc time end world imam mahdi nasser mohammad alyemeni jamad awwal rnsk ,"['#منشأ_كورونا_وسره_المكنون', '#منشا_كورونا_وسره_المكنون']",[],['https://t.co/7qePGVydr8'],[],0
1339,"#منشأ_كورونا_وسره_المكنون  Imam Nasser Mohammad Al-Yemeni 26 - Ramadan - 1441 AH 19 - 05 - 2020 AD 06:37 pm (According to the official time of [Mecca] mother of towns) ______ ..Coronavirus and the decisive explanatory-statement, and it is not a joke  https://t.co/XA4QbOrEmz  https://t.co/DKx8cvpJSC",imam nasser mohammad alyemeni ramadan accord offici time mecca mother town decis explanatorystat joke ,['#منشأ_كورونا_وسره_المكنون'],[],"['https://t.co/XA4QbOrEmz', 'https://t.co/DKx8cvpJSC']",[],0
1340,"..Coronavirus, yet it is not coronavirus, in fact a foul-evil (rejz) that has associates, a virus coalition Imam Nasser Mohammad Al-Yemeni 17 - Dhul Qida - 1441 AH 08 - 07 - 2020 AD 09:17 am  https://t.co/o09rjZBEAz 57 #منشأ_كورونا_وسره_المكنون #منشا_كورونا_وسره_المكنون   SHhh|q",fact foulevil rejz associ viru coalit imam nasser mohammad alyemeni dhul qida shhhq ,"['#منشأ_كورونا_وسره_المكنون', '#منشا_كورونا_وسره_المكنون']",[],['https://t.co/o09rjZBEAz'],[],0
1341,"EN ..Coronavirus and the decisive explanatory-statement, and it is not a joke Imam Nasser Mohammad Al-Yemeni 26 - Ramadan - 1441 AH 19 - 05 - 2020 AD 06:37 pm  https://t.co/d3BGAEw6jX 24 #منشأ_كورونا_وسره_المكنون #منشا_كورونا_وسره_المكنون   pmbRMR",decis explanatorystat joke imam nasser mohammad alyemeni ramadan pmbrmr ,"['#منشأ_كورونا_وسره_المكنون', '#منشا_كورونا_وسره_المكنون']",[],['https://t.co/d3BGAEw6jX'],[],0
1342,"..Coronavirus and the decisive explanatory-statement, and it is not a joke Imam Nasser Mohammad Al-Yemeni 26 - Ramadan - 1441 AH 19 - 05 - 2020 AD 06:37 pm  https://t.co/EyGveVMsiJ 24 #منشأ_كورونا_وسره_المكنون   ec3liC",decis explanatorystat joke imam nasser mohammad alyemeni ramadan eclic ,['#منشأ_كورونا_وسره_المكنون'],[],['https://t.co/EyGveVMsiJ'],[],0
1343,..Corona-virus is from the minor chastisement before the major chastisement so they may turn (to Allah) Imam Nasser Mohammad Al-Yemeni 10 - Rajab - 1441 AH 05 - 03 - 2020 AD 12:51 pm  https://t.co/c8i2fOhH9H 2💙💙💙💙 #منشأ_كورونا_وسره_المكنون #منشا_كورونا_وسره_المكنون   nNnmsE  https://t.co/SIwijGbI56,minor chastis major chastis turn allah imam nasser mohammad alyemeni rajab nnnmse ,"['#منشأ_كورونا_وسره_المكنون', '#منشا_كورونا_وسره_المكنون']",[],"['https://t.co/c8i2fOhH9H', 'https://t.co/SIwijGbI56']","['💙', '💙', '💙', '💙']",0
1344,..Corona-virus is from the minor chastisement before the major chastisement so they may turn (to Allah) Imam Nasser Mohammad Al-Yemeni 10 - Rajab - 1441 AH 05 - 03 - 2020 AD 12:51 pm  https://t.co/BWHISCFV96 2 #منشأ_كورونا_وسره_المكنون #منشا_كورونا_وسره_المكنون eRnNe5,minor chastis major chastis turn allah imam nasser mohammad alyemeni rajab ernn ,"['#منشأ_كورونا_وسره_المكنون', '#منشا_كورونا_وسره_المكنون']",[],['https://t.co/BWHISCFV96'],[],0
1345,#منشأ_كورونا_وسره_المكنون #منشا_كورونا_وسره_المكنون  ..Corona-virus is from the minor chastisement before the major chastisement so they may turn (to Allah) Imam Nasser Mohammad Al-Yemeni 10 - Rajab - 1441 AH 05 - 03 - 2020 AD 12:51 pm  https://t.co/ovkj7Lquz4 2   ZyjGKe  https://t.co/qMDp7pxyyv,minor chastis major chastis turn allah imam nasser mohammad alyemeni rajab zyjgk ,"['#منشأ_كورونا_وسره_المكنون', '#منشا_كورونا_وسره_المكنون']",[],"['https://t.co/ovkj7Lquz4', 'https://t.co/qMDp7pxyyv']",[],0
1346,"..General and Important to the entire world, to all humans; Muslim and disbeliever  Imam Nasser Mohammad Al-Yemeni  07 - Dhul Qida - 1441 AH 28 - 06 - 2020 AD   https://t.co/1sLPg6dNaG  COVID19  Coronavirus   #منشأ_كورونا_وسره_المكنون  https://t.co/m7mrHfxJ5t",gener import entir world human muslim disbeliev imam nasser mohammad alyemeni dhul qida covid ,['#منشأ_كورونا_وسره_المكنون'],[],"['https://t.co/1sLPg6dNaG', 'https://t.co/m7mrHfxJ5t']",[],0
1347,Coronavirus in Pakistan: Active cases reach highest level in 2021  https://t.co/sSziy6KP2g,pakistan activ case reach highest level ,[],[],['https://t.co/sSziy6KP2g'],[],0
1348,..Corona-virus is from the minor chastisement before the major chastisement so they may turn (to Allah) Imam Nasser Mohammad Al-Yemeni 10 - Rajab - 1441 AH 05 - 03 - 2020 AD 12:51 pm  https://t.co/jacu0aGHNs 2 #منشأ_كورونا_وسره_المكنون   h/wc4f,minor chastis major chastis turn allah imam nasser mohammad alyemeni rajab hwcf ,['#منشأ_كورونا_وسره_المكنون'],[],['https://t.co/jacu0aGHNs'],[],0
1349,"#CovidVaccination India administers more than 1 CRORE (10 Million) doses today (1,00,64,032). It's the highest-ever single-day tally.  #coronavirus #CoronavirusUpdates #COVID19Vaccine",india administ crore million today highestev singleday talli ,"['#CovidVaccination', '#coronavirus', '#CoronavirusUpdates', '#COVID19Vaccine']",[],[],[],0
1350,"..Coronavirus and the decisive explanatory-statement, and it is not a joke  Imam Nasser Mohammad Al-Yemeni  26 - Ramadan - 1441 AH 19 - 05 - 2020 AD   https://t.co/ZS4KeVuGzN  "" Covid - 22 "" #منشأ_كورونا_وسره_المكنون  https://t.co/xDIo5Chy2U",decis explanatorystat joke imam nasser mohammad alyemeni ramadan covid ,['#منشأ_كورونا_وسره_المكنون'],[],"['https://t.co/ZS4KeVuGzN', 'https://t.co/xDIo5Chy2U']",[],0
1351,..Corona-virus is from the minor chastisement before the major chastisement so they may turn (to Allah) Imam Nasser Mohammad Al-Yemeni 10 - Rajab - 1441 AH 05 - 03 - 2020 AD 12:51 pm  https://t.co/wSa3p1Pxhx 2 #منشأ_كورونا_وسره_المكنون   uQn4SR,minor chastis major chastis turn allah imam nasser mohammad alyemeni rajab uqnsr ,['#منشأ_كورونا_وسره_المكنون'],[],['https://t.co/wSa3p1Pxhx'],[],0
1352,..Corona-virus is from the minor chastisement before the major chastisement so they may turn (to Allah) Imam Nasser Mohammad Al-Yemeni 10 - Rajab - 1441 AH 05 - 03 - 2020 AD 12:51 pm  https://t.co/wmH4tjVzk5 2 #منشأ_كورونا_وسره_المكنون |3|NU2,minor chastis major chastis turn allah imam nasser mohammad alyemeni rajab nu ,['#منشأ_كورونا_وسره_المكنون'],[],['https://t.co/wmH4tjVzk5'],[],0
1353,..Corona-virus is from the minor chastisement before the major chastisement so they may turn (to Allah) Imam Nasser Mohammad Al-Yemeni 10 - Rajab - 1441 AH 05 - 03 - 2020 AD 12:51 pm  https://t.co/sK5rH8CkTO 2 #منشأ_كورونا_وسره_المكنون 8%E7FZ,minor chastis major chastis turn allah imam nasser mohammad alyemeni rajab efz ,['#منشأ_كورونا_وسره_المكنون'],[],['https://t.co/sK5rH8CkTO'],[],0
1354,..Corona-virus is from the minor chastisement before the major chastisement so they may turn (to Allah)  Imam Nasser Mohammad Al-Yemeni  10 - Rajab - 1441 AH 05 - 03 - 2020 AD  https://t.co/6odbzce62I COVID19  Coronavirus  Virus COVID #منشأ_كورونا_وسره_المكنون  https://t.co/iyvfb0BXZI,minor chastis major chastis turn allah imam nasser mohammad alyemeni rajab covid viru covid ,['#منشأ_كورونا_وسره_المكنون'],[],"['https://t.co/6odbzce62I', 'https://t.co/iyvfb0BXZI']",[],0
1355,"Sharing with no comments.  This is none other than one of the most reputed journals in the World- #science, yesterday.   #COVID #COVISHIELD #COVAXIN #coronavirus  https://t.co/gVhJ53VGLh",share comment reput journal world yesterday ,"['#science,', '#COVID', '#COVISHIELD', '#COVAXIN', '#coronavirus']",[],['https://t.co/gVhJ53VGLh'],[],0
1357,"Misleading Alert 🚨 Fake food supplements, medicines are being promoted through social media falsely claim that Coronavirus can be cured and prevented.  Public requested to be vigilant on those social media posts.  https://t.co/iFVTF4X5HQ #LKA #SriLanka #Factcheck",mislead alert fake food supplement medicin promot social medium fals claim cure prevent public request vigil social medium post ,"['#LKA', '#SriLanka', '#Factcheck']",[],['https://t.co/iFVTF4X5HQ'],['🚨'],0
1358,"@cryptomanran keep yours crp test checked. Its a blood test, which shows inflammation on lungs. I believe, it should be taken after every 3 days to monitor. If its more than 5 then take additional anti biotics along with setroids. Dont take coronavirus easy.",crp test check blood test show inflamm lung believ day monitor addit anti biotic setroid dont ,[],['@cryptomanran'],[],[],0
1359,"The wrath of Jehovah will be within the tribulations, and among them, will be “the dreadful Corona Virus”, yet at this hour, #EternityBeckons at the church!  Will you wait to slide in Tribulation? or your wisdom, will help you, enter with the rapture of Christ Jesus",wrath jehovah tribul dread corona viru hour church wait slide tribul wisdom help enter raptur christ jesu ,['#EternityBeckons'],[],[],[],0
1360,The COVID vaccine concept: clear as mud? -  https://t.co/Xw1ssoRcev  #coronavirus #CoronavirusUpdates #vaccination #WHO #Covaxin #COVID19 #vaccination,covid vaccin concept clear mud ,"['#coronavirus', '#CoronavirusUpdates', '#vaccination', '#WHO', '#Covaxin', '#COVID19', '#vaccination']",[],['https://t.co/Xw1ssoRcev'],[],0
1361,"The earthquakes, Coronavirus are The WRATH OF THE LAMB OF GOD and THE MIGHTIEST MIGHTIEST PROPHETS are the BEARERS of that WRATH.  When a nation does not listen to THE MESSENGERS OF YAHWEH asking them to repent, then they will bear THE WRATH OF GOD.  #EternityBeckons  https://t.co/d7IBUUPPHw",earthquak wrath lamb god mightiest mightiest prophet bearer wrath nation listen messeng yahweh ask repent bear wrath god ,['#EternityBeckons'],[],['https://t.co/d7IBUUPPHw'],[],0
1363,Coronavirus marriages home marriage small group marriages and low budget cost marriage  https://t.co/CsecPnrDh8,marriag home marriag small group marriag low budget cost marriag ,[],[],['https://t.co/CsecPnrDh8'],[],0
1364,Lovers life   Coronavirus death  https://t.co/YNLRGOzoj6,life ,[],[],['https://t.co/YNLRGOzoj6'],[],0
1365,Coronavirus youth and old people coronavirus death  https://t.co/PNo914QmxG,,[],[],['https://t.co/PNo914QmxG'],[],0
1366,Coronavirus youth and old people coronavirus death  https://t.co/H2M6iCj0Ny,,[],[],['https://t.co/H2M6iCj0Ny'],[],0
1367,192 coronavirus related deaths confirmed for August 28 #LKA #SriLanka #COVID19LK,relat confirm august ,"['#LKA', '#SriLanka', '#COVID19LK']",[],[],[],0
