,tweet,clean_tweet,hastags,attherate,urls,emojis,label
2037,@ankitmay28 Sir  Night m log ek dusre ke sampark m ni aayege and if Covid ho rha h to vo dusre state m ni ja payega tb jb night curfew lga ho  Pr uskeliye gov ko kuch jld hi sochna hoga qki curfew and lockdown permanently solution ni h  @DrGauravGarg4  @narendramodi  @myogiadityanath,night log dusr sampark aayeg covid rha dusr state payega night curfew lga uskeliy gov kuch jld sochna hoga qki curfew lockdown perman solut ,[],"['@ankitmay28', '@DrGauravGarg4', '@narendramodi', '@myogiadityanath']",[],[],2
2038,I never ever seen such a baseless decision like Night curfew for corona cases. After 9 pm only few ppl use to move out for dinner or party.Night curfew is a joke😀😀. Still government in dilemma what to do or not to do! 🤣. Take some sensible decision. #delhinightcurfew,baseless decis like night curfew corona case ppl dinner partynight curfew joke govern dilemma sensibl decis ,['#delhinightcurfew'],[],[],"['😀', '😀', '🤣']",2
2040,Jharkhand imposed night curfew with immediate effect from 8 PM to 6 AM  https://t.co/QqdMJ3ODPf,jharkhand impos night curfew immedi effect ,[],[],['https://t.co/QqdMJ3ODPf'],[],2
2041,the admin extended curfew so the student body decided to throw a spontaneous midnight khokha rave!! the nights and people I live for!!! 😭❤️,admin extend curfew student bodi decid throw spontan midnight khokha rave night peopl live ,[],[],[],"['😭', '❤️']",2
2042,"@AsadamAijaz Who is this maha purush who gave this idea!. In kashmir we dnt hve night outings &amp; our markets shut by 7pm . What is logic behind this curfew? In daytime u allow ppl to assemble in parks open sch/colg closed, u r going to start yatra. govt must bring uniformity from all sections.",maha purush give idea kashmir dnt hve night outing market shut logic curfew daytim allow ppl assembl park open schcolg close start yatra govt bring uniform section ,[],['@AsadamAijaz'],[],[],2
2045,Curfew should start from 10am to 6.30pm .,curfew start ,[],[],[],[],2
2046,"@yogitasinghbjp @ArvindKejriwal Media Should Be There In Front Line Workers, We Are Working From Day 1 @yogitasinghbjp Ji  No Lockdown... No Curfew For Us...   But Yes Till The Time Government Don’t Approve Age Or Media Criteria, We Have To Wait🙏🏻",medium worker work day lockdown curfew till time govern dont approv age medium criterion wait ,[],"['@yogitasinghbjp', '@ArvindKejriwal', '@yogitasinghbjp']",[],['🙏🏻'],2
2047,@CMOMaharashtra IPL happening in Wankhede stadium in curfew time.  Either Wankhede stadium is not part of Maharashtra (No restrictions) or government is gaining some monitory benifits from IPL.   Grounds for sports are closed and IPL is on waaah re Sarkar.,ipl happen wankhed stadium curfew time wankhed stadium maharashtra restrict govern gain monitori benifit ipl ground sport close ipl waaah sarkar ,[],['@CMOMaharashtra'],[],[],2
2048,@AirIndia_assist Customer Care can't reschedule a wee-hour BLR-CCU flight that is forced on my Parents by Air India (originally ticketed in a 7 pm flight). It's tiring for any aged to depart at 2 am in between Bengaluru night curfew. Please intervene @HardeepSPuri Sir! PNR J3BGX,custom care cant reschedul weehour blrccu flight forc parent air india origin ticket flight tire age depart bengaluru night curfew interven pnr jbgx ,[],"['@AirIndia_assist', '@HardeepSPuri']",[],[],2
2052,"We request the govt to support F&amp;b Industry. Closing the restaurants at 10pm means taking last order at  7:30pm. We barely learnt to stand, 10pm curfew will hit our industry max  . We cannot survive on  @PMOIndia  @myogiadityanath  @CharuPragya  @nishantchat",request govt support fampb industri close restaur mean order bare learnt stand curfew hit industri max surviv ,[],"['@PMOIndia', '@myogiadityanath', '@CharuPragya', '@nishantchat']",[],[],2
