,tweet,clean_tweet,hastags,attherate,urls,emojis,label
1237,"From April 10, 2021.. Until July 10, 2021.. It has been 3 months now, since I closed the bar that because the problem of the spreading of the Corona virus again.  #Covid19 #SaveKanchanaburiAndThailand  #PrayForKanchanaburiAndThailand  #MonkeyBarKanchanaburi  https://t.co/kGxCq25nGA",april juli month close bar problem spread corona viru ,"['#Covid19', '#SaveKanchanaburiAndThailand', '#PrayForKanchanaburiAndThailand', '#MonkeyBarKanchanaburi']",[],['https://t.co/kGxCq25nGA'],[],1
1287,"17 July 2021 : Bulletin on Novel Corona Virus ( #COVID19 ) #Jammu and #Kashmir reports 179 new positive cases, 313375 recovered so far  https://t.co/E9hQMuiMFN",juli bulletin novel corona viru report new posit case recov far ,"['#COVID19', '#Jammu', '#Kashmir']",[],['https://t.co/E9hQMuiMFN'],[],1
1291,👉The Impact of Corona virus on India’s Manufacturing Sector👈#Corona #BusinessMan #JobSearch #economy #skills #pandemic #crises #makeinindia,impact corona viru india manufactur sector ,"['#BusinessMan', '#JobSearch', '#economy', '#skills', '#pandemic', '#crises', '#makeinindia']",[],[],"['👉', '👈']",1
1301,"19 July 2021 : Bulletin on Novel Corona Virus ( #COVID19 ) #Jammu and #Kashmir reports 123 new positive cases, 313886 recovered so far  https://t.co/FJ5OyQwPxp",juli bulletin novel corona viru report new posit case recov far ,"['#COVID19', '#Jammu', '#Kashmir']",[],['https://t.co/FJ5OyQwPxp'],[],1
1309,@srivatsayb Corona virus is deadly for humans whereas #Pegasus virus deadly for phones.  But no vaccine being developed to prevent phone virus from spreading.,corona viru deadli human viru deadli phone vaccin develop prevent phone viru spread ,['#Pegasus'],['@srivatsayb'],[],[],1
1326,@BJP4India @sambitswaraj No death's due to Corona Virus in India. - Govt (Before Indian General Election 2024)  @BJP4India @INCIndia @AamAadmiParty @ShivsenaComms @NCPspeaks,death corona viru india govt befor indian gener elect ,[],"['@BJP4India', '@sambitswaraj', '@BJP4India', '@INCIndia', '@AamAadmiParty', '@ShivsenaComms', '@NCPspeaks']",[],[],1
1327,@RahulGandhi No death's due to Corona Virus in India. - Govt (Before Indian General Election 2024)  @BJP4India @INCIndia @AamAadmiParty @ShivsenaComms @NCPspeaks,death corona viru india govt befor indian gener elect ,[],"['@RahulGandhi', '@BJP4India', '@INCIndia', '@AamAadmiParty', '@ShivsenaComms', '@NCPspeaks']",[],[],1
1332,@SwatiIKR Like there is no Corona virus around us.,like corona viru ,[],['@SwatiIKR'],[],[],1
1333,Corona virus be like : #NoMasks MN #SocialDistancing #EidMubarak #BakraLivesMatter #Covid_19 #Corona  https://t.co/QmNqV5nNYX,corona viru like ,"['#NoMasks', '#SocialDistancing', '#EidMubarak', '#BakraLivesMatter', '#Covid_19', '#Corona']",[],['https://t.co/QmNqV5nNYX'],[],1
1336,Did a lab accident create the Corona virus? What caused the pandemic? Find out in WHO... IS IN CONTROL.   https://t.co/0KkEJW6RV0  #China #wuhan #Corona,lab accid creat corona viru caus pandem find control ,"['#China', '#wuhan', '#Corona']",[],['https://t.co/0KkEJW6RV0'],[],1
1353,"23 July 2021 : Bulletin on Novel Corona Virus ( #COVID19 ) #Jammu and #Kashmir reports 63 new positive cases, 314620 recovered so far  https://t.co/iemrRVP55h",juli bulletin novel corona viru report new posit case recov far ,"['#COVID19', '#Jammu', '#Kashmir']",[],['https://t.co/iemrRVP55h'],[],1
1371,Corona virus: Number of victims in Pakistan exceeds 1 million,corona viru number victim pakistan exce million ,[],[],[],[],1
1372,@Add50k @StrangerNews11 Our country is slowly recovering from corona virus,countri slowli recov corona viru ,[],"['@Add50k', '@StrangerNews11']",[],[],1
1381,"24 July 2021 : Bulletin on Novel Corona Virus ( #COVID19 ) #Jammu and #Kashmir reports 88 new positive cases, 314798 recovered so far  https://t.co/MGinAlTbb3",juli bulletin novel corona viru report new posit case recov far ,"['#COVID19', '#Jammu', '#Kashmir']",[],['https://t.co/MGinAlTbb3'],[],1
1419,Students afraid from corona virus 😷🙂  https://t.co/hydZ68f6qF,student afraid corona viru ,[],[],['https://t.co/hydZ68f6qF'],"['😷', '🙂']",1
1432,@WHO what i s latest on corona virus ? Is it recurring or gone ?@MoHFW_INDIA,latest corona viru recur ,[],['@WHO'],[],[],1
1437,@MaryamNSharif May Allah Almighty protect you from Corona virus,allah almighti protect corona viru ,[],['@MaryamNSharif'],[],[],1
1457,@ANI These are more dangerous than Corona virus,danger corona viru ,[],['@ANI'],[],[],1
1490,"30 July 2021 : Bulletin on Novel Corona Virus ( #COVID19 ) #Jammu and #Kashmir reports 137 new positive cases, 315795 recovered so far  https://t.co/KREOIaIC1q",juli bulletin novel corona viru report new posit case recov far ,"['#COVID19', '#Jammu', '#Kashmir']",[],['https://t.co/KREOIaIC1q'],[],1
1520,"@jduet9 @tweetingdoubts @Keith040856 @KennyLi32038941 Do you even know that not all viruses are the same? Here’s a clue, dengue isn’t a corona virus, this is like saying all animals are the same because they are animals. What a stupid argument.",viru here clue dengu isnt corona viru like anim anim stupid argument ,[],"['@jduet9', '@tweetingdoubts', '@Keith040856', '@KennyLi32038941']",[],[],1
