,words,scores
610,probe,9
611,destroy,9
612,divis,9
613,kashmir,9
614,fatal,9
615,scientist,9
616,doubt,9
617,damag,9
618,produc,9
619,crowd,9
620,worldwid,9
621,join,9
622,cure,9
623,late,9
624,babi,9
625,break,9
626,preciou,9
627,trust,9
628,light,9
629,regular,9
630,view,9
631,award,9
632,earlier,9
633,thought,9
634,dedic,9
635,highest,9
636,tourist,9
637,near,9
638,collect,9
639,meal,9
640,restaur,9
641,conduct,9
642,surg,9
643,tribal,9
644,attend,9
645,emerg,9
646,vehicl,9
647,maintain,9
648,ignor,9
649,point,9
650,festiv,9
651,involv,9
652,bear,9
653,beauti,9
654,flower,9
655,passport,9
656,extens,9
657,secretari,9
658,sourc,9
659,rip,9
660,malaysia,9
661,key,9
662,sister,9
663,definit,9
664,wish,9
665,shame,9
666,foundat,9
667,tweet,9
668,mata,9
669,captain,9
670,salari,9
671,platform,9
672,nearli,9
673,leak,9
674,orphan,9
675,council,9
676,src,9
677,scam,9
678,sector,8
679,probabl,8
680,hello,8
681,hell,8
682,attack,8
683,financi,8
684,compar,8
685,deep,8
686,lanka,8
687,rtpcr,8
688,novel,8
689,pregnant,8
690,similar,8
691,blame,8
692,cooper,8
693,mistak,8
694,union,8
695,daughter,8
696,read,8
697,ministri,8
698,list,8
699,manufactur,8
700,express,8
701,histori,8
702,firm,8
703,prove,8
704,claim,8
705,destin,8
706,sonu,8
707,labour,8
708,hero,8
709,accept,8
710,air,8
711,court,8
712,challeng,8
713,contain,8
714,tough,8
715,observ,8
716,forc,8
717,export,8
718,victim,8
719,chief,8
720,approv,8
721,metro,8
722,simpl,8
723,enter,8
724,club,8
725,track,8
726,cycl,8
727,document,8
728,wrong,8
729,shall,8
730,enforc,8
731,hundr,8
732,option,8
733,telangana,8
734,youth,8
735,town,8
736,transport,8
737,left,8
738,wont,8
739,avoid,8
740,upto,8
741,larg,8
742,motiv,8
743,excit,8
744,ppl,8
745,ind,8
746,return,8
747,send,8
748,gratitud,8
749,registr,8
750,rahul,8
751,railway,8
752,atleast,8
753,defeat,8
754,kya,8
755,combat,8
756,zoo,8
757,kaur,8
758,pic,8
759,shimla,8
760,ward,8
761,urgent,8
762,serious,8
763,mla,8
764,employ,8
765,quot,8
766,urg,8
767,mandatori,8
768,item,8
769,portal,8
770,strengthen,8
771,dri,8
772,cylind,8
773,tech,8
774,worri,7
775,strong,7
776,statist,7
777,young,7
778,marri,7
779,uttar,7
780,advis,7
781,ambul,7
782,account,7
783,modiji,7
784,law,7
785,wit,7
786,talli,7
787,latest,7
788,handl,7
789,lock,7
790,brand,7
791,search,7
792,proof,7
793,zone,7
794,jampk,7
795,necessari,7
796,click,7
797,hat,7
798,leav,7
799,expect,7
800,anim,7
801,friday,7
802,clinic,7
803,auto,7
804,non,7
805,highli,7
806,result,7
807,expos,7
808,maharashtra,7
809,constitu,7
810,properli,7
811,sorri,7
812,rural,7
813,forest,7
814,pcr,7
815,type,7
816,committe,7
817,add,7
818,goa,7
819,permiss,7
820,fire,7
821,suspend,7
822,decreas,7
823,learn,7
824,monitor,7
825,walk,7
826,appli,7
827,visa,7
828,connect,7
829,movement,7
830,final,7
831,secur,7
832,middl,7
833,biggest,7
834,commit,7
835,oman,7
836,seat,7
837,instruct,7
838,custom,7
839,occup,7
840,separ,7
841,sewa,7
842,imag,7
843,boost,7
844,asap,7
845,research,7
846,version,7
847,schedul,7
848,reveal,7
849,evid,7
850,sindh,7
851,sit,7
852,arm,7
853,fact,7
854,vial,7
855,program,7
856,hesit,7
857,put,7
858,honbl,7
859,doc,7
860,honor,7
861,epidem,7
862,repeat,7
863,littl,7
864,lion,7
865,aap,7
866,opportun,7
867,strategi,7
868,innov,7
869,birthday,7
870,special,7
871,airlin,7
872,shock,7
873,graph,7
874,wake,7
875,era,7
876,whatsapp,7
877,hospitalis,7
878,equip,7
879,financ,7
880,legendari,7
881,spirit,7
882,overcom,7
883,carri,7
884,acknowledg,7
885,uncertainti,7
886,fuel,7
887,max,7
888,knew,7
889,bro,7
890,yearold,7
891,cheat,7
892,dream,6
893,allah,6
894,kanpur,6
895,surat,6
896,found,6
897,fauci,6
898,forward,6
899,undergo,6
900,appear,6
901,sleep,6
902,valuabl,6
903,averag,6
904,earn,6
905,note,6
906,bigger,6
907,goon,6
908,estim,6
909,cours,6
910,bcoz,6
911,discov,6
912,adopt,6
913,mam,6
914,threat,6
915,odisha,6
916,identifi,6
917,construct,6
918,decad,6
919,push,6
920,warn,6
921,flat,6
922,preserv,6
923,chanc,6
924,set,6
925,flood,6
926,templ,6
927,fungu,6
928,log,6
929,doubl,6
930,eye,6
931,thailand,6
932,sustain,6
933,page,6
934,hunger,6
935,joke,6
936,here,6
937,efficaci,6
938,tour,6
939,introduc,6
940,bhi,6
941,delay,6
942,largest,6
943,resid,6
944,owner,6
945,struggl,6
946,broke,6
947,partner,6
948,proper,6
949,candid,6
950,exempt,6
951,build,6
952,norm,6
953,arrest,6
954,outsid,6
955,bombay,6
956,veget,6
957,entri,6
958,stock,6
959,infrastructur,6
960,spike,6
961,function,6
962,havent,6
963,advic,6
964,precaut,6
965,unfortun,6
966,field,6
967,delight,6
968,idiot,6
969,electr,6
970,wast,6
971,grand,6
972,politician,6
973,buy,6
974,onlywhen,6
975,mention,6
976,yadav,6
977,pain,6
978,urban,6
979,predict,6
980,voic,6
981,afford,6
982,helpless,6
983,invit,6
984,gdp,6
985,petrol,6
986,volleybal,6
987,subscrib,6
988,kumar,6
989,welcom,6
990,achiev,6
991,host,6
992,lioness,6
993,expir,6
994,score,6
995,slowli,6
996,ive,6
997,profession,6
998,strain,6
999,steroid,6
1000,reduct,6
1001,septemb,6
1002,sale,6
1003,gujarat,6
1004,chadwick,6
1005,postcovid,6
1006,river,6
1007,interview,6
1008,concentr,6
1009,anymor,6
1010,sign,6
1011,absolut,6
1012,badli,6
1013,zeeshan,6
1014,mamata,6
1015,banerje,6
1016,snapshot,6
1017,relev,6
1018,session,5
1019,bardoli,5
1020,pfizer,5
1021,terrorist,5
1022,especi,5
1023,board,5
1024,scar,5
1025,yogi,5
1026,cover,5
1027,muslim,5
1028,vote,5
1029,fuck,5
1030,defens,5
1031,unabl,5
1032,heavi,5
1033,head,5
1034,mulund,5
1035,explain,5
1036,anti,5
1037,statu,5
1038,hold,5
1039,ralli,5
1040,earth,5
1041,exist,5
1042,lowest,5
1043,environ,5
1044,space,5
1045,recognis,5
1046,respiratori,5
1047,kept,5
1048,lower,5
1049,breath,5
1050,ahead,5
1051,cleanli,5
1052,stori,5
1053,budget,5
1054,controversi,5
1055,goi,5
1056,legend,5
1057,sputnik,5
1058,bapu,5
1059,armi,5
1060,taiwan,5
1061,mount,5
1062,manipul,5
1063,count,5
1064,lac,5
1065,pvt,5
1066,sood,5
1067,healthcar,5
1068,illeg,5
1069,stat,5
1070,equal,5
1071,realis,5
1072,project,5
1073,amaz,5
1074,task,5
1075,curevac,5
1076,ratio,5
1077,cross,5
1078,partial,5
1079,slow,5
1080,poison,5
1081,culprit,5
1082,present,5
1083,asia,5
1084,minut,5
1085,postpon,5
1086,advisori,5
1087,junta,5
1088,baramulla,5
1089,celebr,5
1090,moment,5
1091,told,5
1092,pictur,5
1093,victori,5
1094,bottl,5
1095,beach,5
1096,min,5
1097,gym,5
1098,wise,5
1099,reject,5
1100,applic,5
1101,incom,5
1102,movi,5
1103,confus,5
1104,airport,5
1105,rent,5
1106,longer,5
1107,withdrew,5
1108,discuss,5
1109,north,5
1110,cabinet,5
1111,apart,5
1112,suddenli,5
1113,mission,5
1114,polio,5
1115,sinovac,5
1116,attempt,5
1117,seal,5
1118,vulner,5
1119,catch,5
1120,main,5
1121,sacrific,5
1122,guidanc,5
1123,individu,5
1124,bangalor,5
1125,consult,5
1126,symptom,5
1127,knowledg,5
1128,access,5
1129,truth,5
1130,offlin,5
1131,dread,5
1132,engin,5
1133,madam,5
1134,humbl,5
1135,treat,5
1136,name,5
1137,deserv,5
1138,dad,5
1139,weak,5
1140,polit,5
1141,gandhi,5
1142,grow,5
1143,dmk,5
1144,bill,5
1145,virtual,5
1146,zealand,5
1147,tree,5
1148,tamil,5
1149,necess,5
1150,bail,5
1151,chandigarh,5
1152,teacher,5
1153,loan,5
1154,son,5
1155,heaven,5
1156,refresh,5
1157,peak,5
1158,particip,5
1159,assist,5
1160,frustrat,5
1161,strawberri,5
1162,career,5
1163,stress,5
1164,isnt,5
1165,wors,5
1166,solv,5
1167,okay,5
1168,output,5
1169,workforc,5
1170,fort,5
1171,detrick,5
1172,everyday,5
1173,batch,5
1174,your,5
1175,brief,5
1176,technic,5
1177,poverti,5
1178,agenc,5
1179,curb,5
1180,promot,5
1181,amidst,5
1182,bhatia,5
1183,endosurgeri,5
1184,instituteambika,5
1185,ampm,5
1186,fan,5
1187,aspir,5
1188,mco,5
1189,broadcast,5
1190,highlight,5
1191,karachi,5
1192,sing,5
1193,disabl,5
1194,procedur,5
1195,thousand,5
1196,crimin,5
1197,godavari,5
1198,distrct,5
1199,tuesday,5
1200,hrct,5
1201,mosqu,4
1202,tourism,4
1203,alert,4
1204,part,4
1205,biolog,4
1206,excel,4
1207,tward,4
1208,ban,4
1209,attach,4
1210,benefit,4
1211,gestur,4
1212,accolad,4
1213,chd,4
1214,ramcharan,4
1215,yuvashakthi,4
1216,srikakulam,4
1217,prioriti,4
1218,indoor,4
1219,sick,4
1220,heat,4
1221,drink,4
1222,feed,4
1223,aftermath,4
1224,cultur,4
1225,mandir,4
1226,disciplin,4
1227,practic,4
1228,chi,4
1229,minh,4
1230,foreign,4
1231,perform,4
1232,marathi,4
1233,begin,4
1234,weapon,4
1235,dept,4
1236,setup,4
1237,plant,4
1238,tank,4
1239,expens,4
1240,tribut,4
