,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
78,1403718453857447938,1403718453857447938,2021-06-12 19:48:53 India Standard Time,2021-06-12,19:48:53,530,2199886111,zooman02,Finolhu man,,Anni ah insaafu libeynee magu mathee muzaaharaa kuran nikumegen. Covid curfew 2023 dhamaalanee magu mathee muzaaharaa huttuvan vegen. Mee reality. Covid curfew gai Male rayyithun hanaavanee. Magumathi vejje varah haalu gai jehijje. Majlis kobaa. Rayyithun ge adu ivvaadhee.,et,[],[],[],1,0,0,[],[],https://twitter.com/Zooman02/status/1403718453857447938,False,,0,,India,,,,,,[],,,,
79,1403716770825834502,1403716770825834502,2021-06-12 19:42:12 India Standard Time,2021-06-12,19:42:12,530,2470048403,badriesh,Bullet Raja 23,,River front lko curfew ka koi matlab nhi corona khatam lko me  https://t.co/IHIjR1kMph,tl,[],[],['https://pbs.twimg.com/media/E3sA9O0UYAMYoE1.jpg'],0,0,0,[],[],https://twitter.com/badriesh/status/1403716770825834502,False,,1,https://pbs.twimg.com/media/E3sA9O0UYAMYoE1.jpg,India,,,,,,[],,,,
80,1403715628087738370,1403715628087738370,2021-06-12 19:37:40 India Standard Time,2021-06-12,19:37:40,530,3712498934,mustafa00926708,Mustafa Pasha,,"Meanwhile, night curfew will be in effect from 7 pm to 5 am in all other districts, including Bengaluru City. The weekend curfew will also be in effect from 7 pm on Friday till 5 am Monday starting from June 14. #LockDown #UnlockGuideline #COVID19",en,[],[],[],0,0,0,"['lockdown', 'unlockguideline', 'covid19']",[],https://twitter.com/mustafa00926708/status/1403715628087738370,False,,0,,India,,,,,,[],,,,
81,1403702391292121089,1403310758520295428,2021-06-12 18:45:04 India Standard Time,2021-06-12,18:45:04,530,2170484868,rhenaes,Stephen Lodziak,,@ravirannaneliya Keep up the good work. But don’t forget there is more to public health in SL than a maniacal focus on Covid. IMO you could be doing more to address the massively bad non-Covid health effects of this lockdown/curfew on the poor.,en,[],[],[],0,0,2,[],[],https://twitter.com/Rhenaes/status/1403702391292121089,False,,0,,India,,,,,,"[{'screen_name': 'ravirannaneliya', 'name': 'Ravi Rannan-Eliya', 'id': '1326059646071660544'}]",,,,
82,1403659131936927750,1403659131936927750,2021-06-12 15:53:10 India Standard Time,2021-06-12,15:53:10,530,1860085681,edwardmayega,Edward Mayega,,"Yesterday, there was a very serious exchange of kicks and fist btn security personnel in Nakasongola.When police and military personnel wanted to take an SFC motorbike 🏍 who was violating curfew hours. Ekikonde ne migere byanyose. 🤣🤣 SFC guys think that they ar above everyone.",en,[],[],[],0,0,0,[],[],https://twitter.com/EdwardMayega/status/1403659131936927750,False,,0,,India,,,,,,[],,,,
83,1403630793897824261,1403630793897824261,2021-06-12 14:00:34 India Standard Time,2021-06-12,14:00:34,530,3582144085,keshab_mahanta,Keshab Mahanta,,"Emphasised on 3Ts - Testing, Tracing &amp; Treatment to bring down #Covid19 cases, asked for strict implementation of curfew &amp; to spread awareness amongst people in #KamrupMetropolitan in the DC office meet. Also took stock of the containment zones, CCCs &amp; patients' health cond. 1/2  https://t.co/rfyZgzz1h1",en,[],[],"['https://pbs.twimg.com/media/E3qyhs7UcAYcfxL.jpg', 'https://pbs.twimg.com/media/E3qyjqqUcAU-9Xu.jpg', 'https://pbs.twimg.com/media/E3qymzsVkAk36wA.jpg', 'https://pbs.twimg.com/media/E3qywyNVcAAier3.jpg']",4,12,135,"['covid19', 'kamrupmetropolitan']",[],https://twitter.com/keshab_mahanta/status/1403630793897824261,False,,1,https://pbs.twimg.com/media/E3qyhs7UcAYcfxL.jpg,India,,,,,,[],,,,
84,1403620265209131009,1403620265209131009,2021-06-12 13:18:43 India Standard Time,2021-06-12,13:18:43,530,29184298,mikedesai,Mike Desai,,Going to Kanpur for a night. Won't be meeting @xyz15141514 because of this silly night curfew.  Hopefully next trip which shouldn't be too far away.,en,"[{'screen_name': 'xyz15141514', 'name': 'syed yasir', 'id': '702236461391720448'}]",[],[],0,0,2,[],[],https://twitter.com/MikeDesai/status/1403620265209131009,False,,0,,India,,,,,,[],,,,
85,1403600735665750017,1403599133621977097,2021-06-12 12:01:07 India Standard Time,2021-06-12,12:01:07,530,1252453138688356353,shaqueelmd,Md Shaqueel,,@ArvindKejriwal Odd even ki jagah weekend curfew krwa do kyu k isse aarthik stithi mazboot hogi  Or dheere dheere hum apni dukano or family ko guidelines k sath khayal rakh payenge plz is pr wichar kijiyega,hi,[],[],[],0,0,0,[],[],https://twitter.com/ShaqueelMd/status/1403600735665750017,False,,0,,India,,,,,,"[{'screen_name': 'ArvindKejriwal', 'name': 'Arvind Kejriwal', 'id': '405427035'}]",,,,
86,1403598956869742592,1403589834522861571,2021-06-12 11:54:03 India Standard Time,2021-06-12,11:54:03,530,1252453138688356353,shaqueelmd,Md Shaqueel,,@ArvindKejriwal Is baar odd even ki jagah weekend curfew lagana jese lockdown ki shuruwaat hui thi wese hi iska khatma bhi krdo plz,en,[],[],[],0,0,0,[],[],https://twitter.com/ShaqueelMd/status/1403598956869742592,False,,0,,India,,,,,,"[{'screen_name': 'ArvindKejriwal', 'name': 'Arvind Kejriwal', 'id': '405427035'}]",,,,
87,1403574001423851520,1403556771445104641,2021-06-12 10:14:53 India Standard Time,2021-06-12,10:14:53,530,1210816541278687237,singh28_suraj,Suraj Singh28,,@noidatraffic @CP_Noida @dcptrafficnoida @Uppolice @uptrafficpolice @noidapolice Sir is there weekend curfew at Gr Noida pls update sir,en,[],[],[],0,0,0,[],[],https://twitter.com/singh28_suraj/status/1403574001423851520,False,,0,,India,,,,,,"[{'screen_name': 'noidatraffic', 'name': 'Noida Traffic Police', 'id': '3260111353'}, {'screen_name': 'CP_Noida', 'name': 'CP Noida', 'id': '1217649502363848705'}, {'screen_name': 'dcptrafficnoida', 'name': '@DCPTrafficNoida', 'id': '1219183692586741760'}, {'screen_name': 'Uppolice', 'name': 'UP POLICE', 'id': '1271749327'}, {'screen_name': 'uptrafficpolice', 'name': 'UP Traffic Police', 'id': '3259784640'}, {'screen_name': 'noidapolice', 'name': 'POLICE COMMISSIONERATE GAUTAM BUDDH NAGAR', 'id': '1461970477'}]",,,,
88,1405492546894131200,1405492546894131200,2021-06-17 17:18:30 India Standard Time,2021-06-17,17:18:30,530,3046457748,flyvizag,#FlyVizag (#WearAMask😷),,Now below 250 cases per day. 237 cases registered in Visakhapatnam dist. It's almost same as April month cases. State may think about easing lock/curfew restrictions for vizag dist.,en,[],[],[],1,0,5,[],[],https://twitter.com/flyVizag/status/1405492546894131200,False,https://twitter.com/ArogyaAndhra/status/1405490703916945412,0,,India,,,,,,[],,,,
89,1405489502563483652,1405489502563483652,2021-06-17 17:06:24 India Standard Time,2021-06-17,17:06:24,530,2197981725,yakoshkaa,yue,,"Orrr, hear me out, a curfew for men without a woman’s Company😍",en,[],[],[],0,0,0,[],[],https://twitter.com/yakoshkaa/status/1405489502563483652,False,https://twitter.com/_7awraa12/status/1405189415576743938,0,,India,,,,,,[],,,,
90,1405460808855818241,1405438153117233152,2021-06-17 15:12:23 India Standard Time,2021-06-17,15:12:23,530,84298760,shivbk04,shiv bk,,@blrcitytraffic hi I just wanted to know on weekend curfew even cycling is also not allowed? Your response will be appreciated,en,[],[],[],0,0,0,[],[],https://twitter.com/shivbk04/status/1405460808855818241,False,,0,,India,,,,,,"[{'screen_name': 'blrcitytraffic', 'name': 'BengaluruTrafficPolice', 'id': '1851545900'}]",,,,
91,1405459056798568453,1405459056798568453,2021-06-17 15:05:25 India Standard Time,2021-06-17,15:05:25,530,84298760,shivbk04,shiv bk,,@blrcitytraffic hi I just wanted to know on weekend curfew even cycling is also not allowed? Your response will be appreciated,en,[],[],[],1,0,0,[],[],https://twitter.com/shivbk04/status/1405459056798568453,False,,0,,India,,,,,,[],,,,
92,1405437128587190277,1405087898349850629,2021-06-17 13:38:17 India Standard Time,2021-06-17,13:38:17,530,1204793096136880128,debzbrownic,Debajyoti,,@SonitpurPolice @DCSonitpur Administration has been kind enough &amp; were dealing keeping a human touch in enforcing curfew restrictions all this while. Inspite of this some people have taken undue advantage of it &amp; continuing to break rules. Attached are snaps of construction from my terrace @ 1 30 pm.  https://t.co/lexbHE1frv,en,[],[],"['https://pbs.twimg.com/media/E4EdhXLUUAI5Dxk.jpg', 'https://pbs.twimg.com/media/E4EdksCUYAAvyQK.jpg']",0,0,2,[],[],https://twitter.com/DebzBrownic/status/1405437128587190277,False,,1,https://pbs.twimg.com/media/E4EdhXLUUAI5Dxk.jpg,India,,,,,,"[{'screen_name': 'SonitpurPolice', 'name': 'Sonitpur Police', 'id': '1023184736334667776'}, {'screen_name': 'DCSonitpur', 'name': 'Deputy Commissioner, Sonitpur, Assam, India', 'id': '1040855771682992128'}]",,,,
93,1405426804572114948,1404773099078254595,2021-06-17 12:57:16 India Standard Time,2021-06-17,12:57:16,530,1131973969760870401,dhonaisaa,Amerny,,"@mahuvei BroI rejected the offer, kaaney curfew nimenemey. 😂",en,[],[],[],1,0,1,[],[],https://twitter.com/DhonAisaa/status/1405426804572114948,False,,0,,India,,,,,,"[{'screen_name': 'mahuvei', 'name': '#ތައްކޮންކަންތަކާއިބެހެއި 🇵🇸', 'id': '308302094'}]",,,,
94,1405402061269725185,1405400937120763904,2021-06-17 11:18:57 India Standard Time,2021-06-17,11:18:57,530,325488932,livefromalounge,Ajay Awtaney,,"@serenavora Serena, difference in the economic circumstances. Plus lockdowns are supposed to be to get the medical infrastructure up and running, not to keep people indoors. For that, we need a curfew.",en,[],[],[],1,0,0,[],[],https://twitter.com/LiveFromALounge/status/1405402061269725185,False,,0,,India,,,,,,"[{'screen_name': 'serenavora', 'name': 'Serena Vora Chandra', 'id': '39047265'}]",,,,
95,1405235331918487552,1405235331918487552,2021-06-17 00:16:25 India Standard Time,2021-06-17,00:16:25,530,1204793096136880128,debzbrownic,Debajyoti,,"With situation still alarming in the district &amp; people being completely reckless with CoVid appropriate behaviour, &amp; flaunting curfew hour restrictions this is a timely decision taken by the administration. Highly appreciated.  @DCSonitpur @SonitpurPolice",en,"[{'screen_name': 'dcsonitpur', 'name': 'deputy commissioner, sonitpur, assam, india', 'id': '1040855771682992128'}, {'screen_name': 'sonitpurpolice', 'name': 'sonitpur police', 'id': '1023184736334667776'}]",[],[],0,0,1,[],[],https://twitter.com/DebzBrownic/status/1405235331918487552,False,https://twitter.com/DCSonitpur/status/1405187915450241027,0,,India,,,,,,[],,,,
96,1405161984195137538,1405161984195137538,2021-06-16 19:24:58 India Standard Time,2021-06-16,19:24:58,530,2199886111,zooman02,Finolhu man,,@ibusolih  rayyithun nah sarukaarun hiley boahiyaa vahikan dhineema rayyithun vanee faidhaa nootho. Flat elhee rayyithun ge faisaa in noontha? Kuli kudakurumakee rayyithun ah  libey luikmeh noontho? Fayah hini araigen rayyithun athun covid19 curfew joorimanaa &amp;flat kuli boduvee?,et,[],[],[],0,0,1,[],[],https://twitter.com/Zooman02/status/1405161984195137538,False,,0,,India,,,,,,[],,,,
