,username,created_at,replies_count,retweets_count,likes_count,tweet,language
97,Avinash Narendra Sharma,2021-06-11T12:13:23.000Z,0.0,0.0,0,Government is gearing up its efforts to fight against the #COVID-19 pandemic. #IndiaFightsCorona https://mygov.in/covid-19/,en
99,Credai Bengal,2021-06-10T10:44:13.000Z,0.0,1.0,3,"#credaibengalcares 

We are all in this fight together. 

Let's beat Covid-19 collectively.


@kmc_kolkata",en
101,Sourav_Raj_d ,2021-06-10T06:51:53.000Z,0.0,1.0,3,"#kolkata updates:
About a month and a half later,the 'Indian Coffee house workers co-operative limited' reopened.Before that, disinfection work is going on inside.

The coffee house is being opened in accordance with #Covid_19 rules.

#indiancoffeehouse #coffehouse #collegestreet",en
102,India Tribal Care Trust (Official),2021-06-09T19:57:16.000Z,2.0,1.0,0,"Our volunteers went to villages deep inside the East Godavari distrct forest in Andhra Pradesh and distributed dry rations among the tribal families who are affected due to Covid pandemic. We planned to reach out to 450 families with dry rations for a week.
#Covid19 #corona",en
104,Manish Soni,2021-06-09T09:48:44.000Z,0.0,0.0,0,Covid 19,en
105,DebasreeBhattacharya,2021-06-09T06:41:40.000Z,0.0,0.0,5,"Relief @ Sundarban Area Kakdwip Block under South 24 pgs dist, Effected area by Yash cyclone & Covid 19.. 

@debashreebhatt2
 
@PMOIndia
 
@devworld24
 
@DilipGhoshBJP
 
@BJP4India
 
@BJP4Bengal",en
106,DebasreeBhattacharya,2021-06-09T06:39:13.000Z,1.0,0.0,5,"Relief @ Sundarban Area Kakdwip Block under South 24 pgs dist,  Effected Area by Yash cyclone & Covid 19.. 

@debashreebhatt2
 
@PMOIndia
 
@devworld24
 
@DilipGhoshBJP
 
@BJP4India
 
@BJP4Bengal",en
108,विवेक बारूई,2021-06-09T03:03:21.000Z,1.0,0.0,0,"Dr. Antony Fauci asking Americans to be get vaccinated, referring as
COVID-19 (B.1.6172) which has been seen in India and UK , 6% Americans likely been affected as per the Press Confrence. 
Recently 
@WHO
 in his press conference speaks about the new Variant discover in India.",en
109,V I C K Y @25 DEC,2021-06-08T18:30:50.000Z,0.0,0.0,0,"Let’s fight together against #covid_19 .
Get #vaccinated   today",en
110,India Tribal Care Trust (Official),2021-06-08T16:50:44.000Z,1.0,0.0,0,"India Tribal Care Trust volunteers went to villages deep inside the East Godavari distrct forest in #AndhraPradesh  and distributed dry rations among the tribal families who are affected due to Covid #pandemic.
#Covid19 #corona #covid19india #tribal  #WeCare #Wecarefortribals",en
111,Swapan Kumar Das( kumar_swapan),2021-06-08T14:09:22.000Z,0.0,0.0,2,"Due to Covid-19 the students are suffering much & they are also in uncertainty regarding their study,exam etc. Govt.must find out a way.Under the situation I want to extend cooperation for learning & acquiring knowledge through our youtube channel 'ice-breaking' fr com. students.",en
113,ikigai,2021-06-08T12:14:24.000Z,0.0,0.0,0,"Replying to 
@MarkTheHabibi",en
117,ramen aditya,2021-06-08T02:37:40.000Z,0.0,0.0,0,"Persons undertaking international travel for educational purposes, or employment opportunities, or as part of India's contingent for Tokyo Olympic games will have to get their CoWIN certificates to be linked to their passport for covid-19 vaccination, the centre said on Monday.",en
118,Mahesh Saharia,2021-06-08T01:13:13.000Z,0.0,0.0,0,"As #COVID situation & vaccination improves,#Duty of 
@MoHFW_INDIA
 to advise #StateGovts to follow full caution in relaxation rules. #Pandemic continues. Also #Citizen Advisory to follow all Social safety norms & rope in all bodies, #NGOs to assist. 
@drharshvardhan
 #Mutations",en
119,Mahesh Saharia,2021-06-08T01:01:02.000Z,0.0,0.0,0,"@HardeepSPuri
 Sir, Media reports says #MoCA considering relaxation of positive #Corona report in consultation with 
@MoHFW_INDIA
 
@drharshvardhan
 .Submit, if true, too early, let us not repeat mistake & spread pandemic. Let passengers travel safely & be assured, relaxed 
@PMOIndia",en
121,Anjali Gour,2021-06-07T12:22:45.000Z,0.0,0.0,1,"West Bengal government : to decided to cancel the class 10 and 12 examination in view of the covid-19
Me:",en
122,Shamik Bhattacharyya,2021-06-07T11:31:16.000Z,0.0,1.0,1,"The Lab-Leak Theory: Inside the Fight to Uncover COVID-19’s Origins https://vanityfair.com/news/2021/06/the-lab-leak-theory-inside-the-fight-to-uncover-covid-19s-origins?utm_source=twitter&utm_medium=social&utm_campaign=onsite-share&utm_brand=vanity-fair&utm_social-type=earned… via 
@VanityFair
  
@ananthkrishnan
 Sir 
@ramyakannan",en
123,Praveen Sharma,2021-06-07T06:15:29.000Z,1.0,1.0,4,"Thank you so much 
@RNTata2000
 Sir and 
@TCS
 Kolkata for well planned and smooth Covid 19 Vaccination Drive.
Got my first dose today at TCS Kolkata.#TCSVaccinationleague",en
124,Mahesh Saharia,2021-06-07T02:26:42.000Z,1.0,2.0,4,"Truly #AshaWorkers are great assets & have been doing wonderfully well in several areas of health besides #COVID management. The Institution needs to be strengthened, supported & should continue to receive further training.",en
125,Spandan Mishra,2021-06-06T15:31:03.000Z,0.0,0.0,1,"@MamataOfficial
 I being a student of class XII as well as civilian of our society,sincerely suggest you to stop HS and Secondary examination due to Covid 19 pandemic situation . We are getting frustrated ,please make a decision as soon as possible.
#cancelwbboardexams2021",en
126,Ankit Singh,2021-06-06T12:08:42.000Z,0.0,1.0,3,"She is a housewife whose husband has lost his job due to the restrictions imposed by the #pandemic #covid_19 .To feed her chldn.& survive,she has started this smallscale business to provide #home-cooked meals at affordable rate in & around #tollygungesouth 
Contact-8240193144",en
130,Santanu Bhattacharya,2021-06-05T16:45:55.000Z,0.0,0.0,0," Options to stay safe from COVID-19 
 Covishield / Covaxine / Sputnik + Mask + Sanitizer + social distancing
 Mask + Sanitizer + social distancing
 Mask + Sanitizer
 Mask",en
135,Adrija Chatterjee,2021-06-04T18:08:51.000Z,0.0,0.0,0,"Replying to 
@BatutasGluttony
 and 
@ShomikChakrabo4",en
137,Chiradeep Roy,2021-06-04T12:14:37.000Z,0.0,0.0,1,"Finally vaccinated… 
@MonalisaRMitra
 

Please do take vaccine at your respective turn. Do not take this lightly…

#Covishield #VaccineRegistration #Vaccinatie #CovishieldVaccine #COVID #pandemic #lockdown2021",en
139,"Seacom Marine College, Howrah",2021-06-04T06:16:48.000Z,0.0,1.0,3,"Dear All Cadets / Ratings/ friends,

Together we fight against COVID-19.

You are Essential... 
Be protected... 
Protect your family... 
Get Vaccinated",en
141,Pritha Sarkar,2021-06-03T19:18:39.000Z,0.0,0.0,0,"Applaude
""White House announces plan to distribute 80 million COVID-19 doses globally by end of June""",en
142,Mohit Saluja,2021-06-03T18:54:24.000Z,0.0,1.0,1,"@icsi_cs
 
@theicai
 
@ICAICMA
 
 Request MCA to #BringAmnestyScheme 
Entire county is suffering from the second wave of "" Covid-19 pandemic Save #MSME&StartUps from the Hardship of Heavy Penalties #MCA 
Please Save Small Business to Survive in the Country",en
143,Indrajit Saha ,2021-06-03T15:37:18.000Z,0.0,0.0,0,"@JoeBiden
 
@KamalaHarris
 
@INDOPACOM
 
@USAGov
 
@VP
 
@POTUS
 
Chinese media warn of Nuclear war with USA over Covid 19 investigation.
What USA do now?
1- USA protect China, because of Chinese's Nuclear threat. OR
2- USA announced the truth, without any Chinese Fear",en
145,Siddhartha Sankar Banerjee,2021-06-03T11:54:01.000Z,0.0,0.0,0,"Replying to 
@PiyushGoyal
 and 
@narendramodi",en
146,Jit Bose,2021-06-03T10:26:24.000Z,0.0,0.0,0,"""Coronavirus: India reports lowest spike in cases in 50 days"" 
#COVID #coronavirus #india",en
147,Sanjib Kumar Das,2021-06-03T10:18:33.000Z,0.0,0.0,0,"A ‘third wave’ of COVID-19 can’t be predicted for India yet, says top WHO scientist https://gn24.ae/bcba45202f60000
#WHO #BreakTheChain #IndiaCovidCrisis #CoronaSecondWave #Corona #CoronavirusPandemic #CoronavirusVaccine",en
148,Sagnik Das,2021-06-03T09:28:45.000Z,0.0,1.0,0,Need Covid 19 vaccine for my wife and me. Looking for 18+ slots in New Town. Plese help. #TrustNKDA,en
150,you belong with me TS,2021-06-03T07:05:15.000Z,0.0,0.0,0,"@MamataOfficial
 Madhyamik and Uchya Madhyamik exams must be cancelled/ postponed further until the situation improves. Students would otherwise constantly be at a risk of contracting Covid 19/ Fungal infections and dome may have post covid complications.
#cancelmadhyamik2021",en
154,Nita Karmakar,2021-06-02T17:47:29.000Z,0.0,0.0,0,"Replying to 
@wbdhfw",en
159,Ridzsups,2021-06-02T13:33:36.000Z,0.0,0.0,0,"Replying to 
@ndtv",en
160,Mahesh Saharia,2021-06-02T13:09:25.000Z,0.0,1.0,1,"@drharshvardhan
 COVID-19 wave1, 162 PSA O2 plants approved to set up under control of 
@MoHFW_INDIA
 with 202 cr funds from PM-Cares. Was not followed up. 
@PMOIndia
 got all blame. Urge please adopt system of constant monitoring on all projects.We want #Country & 
@mygovindia
 succeed",en
161,Oil India Limited,2021-06-02T11:53:25.000Z,0.0,4.0,23,"OIL Hospital, Duliajan arranged for COVID-19 vaccination shots for people with disabilities. About 80 people got their shots at the Rotary Club of Duliajan Vaccination Centre today.
#COVID19 #vaccine #COVID19Vaccination #oilindialtd #oilindia #oilindialimited",en
162,munna singh,2021-06-02T09:29:20.000Z,0.0,0.0,0,I Am covid-19 vaccinated,en
163,Soumyajit Majumder,2021-06-02T08:27:31.000Z,4.0,21.0,317,"Just In: Former West Bengal CM Buddhadeb Bhattacharjee, who was undergoing treatment for COVID-19, discharged from hospital after recovery",en
167,Rupam Art,2021-06-01T12:12:27.000Z,0.0,0.0,1,"@SonuSood
 the real life hero.
(Pencil sketch by Rupam Bhattacharya).
#sonu_sood #RupamArt #sketch #painting #drawing #pencil #arts #art #real_life_hero #soft_pastel #Rupam_Art #sonu_sir #coronavirus #covid_19 #India #sonu #o2",en
168,Aishik Saha,2021-06-01T12:11:42.000Z,0.0,0.0,0,"Will jobs go back to being the way they were when Indian firms recover after the Covid-19 pandemic? https://scroll.in/article/996255/will-jobs-go-back-to-being-the-way-they-were-when-indian-firms-recover-after-the-covid-19-pandemic… via 
@scroll_in",en
