,Unnamed: 0,tweet,language,hastags,attherate,urls,tokenized_Tweet,filteredToken,clean_tweet,emojis
761,761,@CMOfficeUP @myogiadityanath Corona cases is decreaseses day per day . So pls permit to open the coaching institutes with rule . It's request of all the teachers who teaches .,en,[],"['@CMOfficeUP', '@myogiadityanath']",[],"['CMOfficeUP', 'myogiadityanath', 'Corona', 'cases', 'is', 'decreaseses', 'day', 'per', 'day', 'So', 'pls', 'permit', 'to', 'open', 'the', 'coaching', 'institutes', 'with', 'rule', 'It', ""'s"", 'request', 'of', 'all', 'the', 'teachers', 'who', 'teaches']",, Corona cases is decreaseses day per day  So pls permit to open the coaching institutes with rule  Its request of all the teachers who teaches ,[]
762,762,"@narendramodi_in @AmitShah (corona virus vaccines should be given to everyone at their home to enable vaccines to reach everyone thru asha workers.if there is a will,there is a way)",en,[],"['@narendramodi_in', '@AmitShah']",[],"['narendramodi_in', 'AmitShah', 'corona', 'virus', 'vaccines', 'should', 'be', 'given', 'to', 'everyone', 'at', 'their', 'home', 'to', 'enable', 'vaccines', 'to', 'reach', 'everyone', 'thru', 'asha', 'workers.if', 'there', 'is', 'a', 'will', 'there', 'is', 'a', 'way']",, (corona virus vaccines should be given to everyone at their home to enable vaccines to reach everyone thru asha workersif there is a willthere is a way),[]
763,763,Diverting to public bcoz central government is completely failure to tackle the Corona pandemic,en,[],[],[],"['Diverting', 'to', 'public', 'bcoz', 'central', 'government', 'is', 'completely', 'failure', 'to', 'tackle', 'the', 'Corona', 'pandemic']",,Diverting to public bcoz central government is completely failure to tackle the Corona pandemic,[]
764,764,"Be waqt toh bas Corona aata hai , Haryana not conducted polls for local bodies and Opposition is silent , they Knows about their defeat",en,[],[],[],"['Be', 'waqt', 'toh', 'bas', 'Corona', 'aata', 'hai', 'Haryana', 'not', 'conducted', 'polls', 'for', 'local', 'bodies', 'and', 'Opposition', 'is', 'silent', 'they', 'Knows', 'about', 'their', 'defeat']",,Be waqt toh bas Corona aata hai  Haryana not conducted polls for local bodies and Opposition is silent  they Knows about their defeat,[]
765,765,After taking 6 min corona test,en,[],[],[],"['After', 'taking', '6', 'min', 'corona', 'test']",,After taking 6 min corona test,[]
766,766,Old picture  good days Corona free days Durga puja 2019  https://t.co/H97f2yG7SL,en,[],[],['https://t.co/H97f2yG7SL'],"['Old', 'picture', 'good', 'days', 'Corona', 'free', 'days', 'Durga', 'puja', '2019', 'https', 't.co/H97f2yG7SL']",,Old picture good days Corona free days Durga puja 2019 ,[]
767,767,We need more fund to protect the people of assam from flood and corona virus. More over we ask assam government to stop illegal eviction following guwahati high court's order @PMOIndia @CMOfficeAssam,en,[],"['@PMOIndia', '@CMOfficeAssam']",[],"['We', 'need', 'more', 'fund', 'to', 'protect', 'the', 'people', 'of', 'assam', 'from', 'flood', 'and', 'corona', 'virus', 'More', 'over', 'we', 'ask', 'assam', 'government', 'to', 'stop', 'illegal', 'eviction', 'following', 'guwahati', 'high', 'court', ""'s"", 'order', 'PMOIndia', 'CMOfficeAssam']",,We need more fund to protect the people of assam from flood and corona virus More over we ask assam government to stop illegal eviction following guwahati high courts order ,[]
768,768,"@Incognito_River We are so lucky ki corona ne hmari family me kisi ko kuch nhi kia,,,, but from the other side i lost my projects and now we are financially so weak!",en,[],['@Incognito_River'],[],"['Incognito_River', 'We', 'are', 'so', 'lucky', 'ki', 'corona', 'ne', 'hmari', 'family', 'me', 'kisi', 'ko', 'kuch', 'nhi', 'kia', 'but', 'from', 'the', 'other', 'side', 'i', 'lost', 'my', 'projects', 'and', 'now', 'we', 'are', 'financially', 'so', 'weak']",, We are so lucky ki corona ne hmari family me kisi ko kuch nhi kia but from the other side i lost my projects and now we are financially so weak,[]
769,769,Our Prime Minister Shri @narendramodi Ji is working day &amp; night to protect lives from the Corona pandemic &amp; to raise INDIA above the world.   #HeroOfTheNationModiJi  https://t.co/yoUvQRyIOK,en,['#HeroOfTheNationModiJi'],['@narendramodi'],['https://t.co/yoUvQRyIOK'],"['Our', 'Prime', 'Minister', 'Shri', 'narendramodi', 'Ji', 'is', 'working', 'day', 'amp', 'night', 'to', 'protect', 'lives', 'from', 'the', 'Corona', 'pandemic', 'amp', 'to', 'raise', 'INDIA', 'above', 'the', 'world', 'HeroOfTheNationModiJi', 'https', 't.co/yoUvQRyIOK']",,Our Prime Minister Shri Ji is working day amp night to protect lives from the Corona pandemic amp to raise INDIA above the world ,[]
770,770,"Mausa , tarini slum,Bbsr,due to Lockdown the 2nd wave of corona is facing a lot of problems to lack of food.our Help India rushed to her home and provided her food for 20 days @CMO_Odisha @PMOIndia @bmcbbsr @cpbbsrctc @SSEPD2 @Naveen_Odisha @DMKhordha @HFWOdisha @Naveen_Odisha  https://t.co/WkFX0lIk2u",en,[],"['@CMO_Odisha', '@PMOIndia', '@bmcbbsr', '@cpbbsrctc', '@SSEPD2', '@Naveen_Odisha', '@DMKhordha', '@HFWOdisha', '@Naveen_Odisha']",['https://t.co/WkFX0lIk2u'],"['Mausa', 'tarini', 'slum', 'Bbsr', 'due', 'to', 'Lockdown', 'the', '2nd', 'wave', 'of', 'corona', 'is', 'facing', 'a', 'lot', 'of', 'problems', 'to', 'lack', 'of', 'food.our', 'Help', 'India', 'rushed', 'to', 'her', 'home', 'and', 'provided', 'her', 'food', 'for', '20', 'days', 'CMO_Odisha', 'PMOIndia', 'bmcbbsr', 'cpbbsrctc', 'SSEPD2', 'Naveen_Odisha', 'DMKhordha', 'HFWOdisha', 'Naveen_Odisha', 'https', 't.co/WkFX0lIk2u']",,Mausa  tarini slumBbsrdue to Lockdown the 2nd wave of corona is facing a lot of problems to lack of foodour Help India rushed to her home and provided her food for 20 days ,[]
771,771,What happened Corona time lots of companies and people donated money and bank cheque’s for Covid treatment PM care funds and CM care funds,en,[],[],[],"['What', 'happened', 'Corona', 'time', 'lots', 'of', 'companies', 'and', 'people', 'donated', 'money', 'and', 'bank', 'cheque', '’', 's', 'for', 'Covid', 'treatment', 'PM', 'care', 'funds', 'and', 'CM', 'care', 'funds']",,What happened Corona time lots of companies and people donated money and bank cheque’s for Covid treatment PM care funds and CM care funds,[]
772,772,"Mausi, tarini slum,Bbsr,due to Lockdown the 2nd wave of corona is facing a lot of problems to lack of food.our Help India rushed to her home and provided her food for 20days @CMO_Odisha @PMOIndia @bmcbbsr @cpbbsrctc @SSEPD2 @Naveen_Odisha @DMKhordha @HFWOdisha  https://t.co/2mJF4n6ifP",en,[],"['@CMO_Odisha', '@PMOIndia', '@bmcbbsr', '@cpbbsrctc', '@SSEPD2', '@Naveen_Odisha', '@DMKhordha', '@HFWOdisha']",['https://t.co/2mJF4n6ifP'],"['Mausi', 'tarini', 'slum', 'Bbsr', 'due', 'to', 'Lockdown', 'the', '2nd', 'wave', 'of', 'corona', 'is', 'facing', 'a', 'lot', 'of', 'problems', 'to', 'lack', 'of', 'food.our', 'Help', 'India', 'rushed', 'to', 'her', 'home', 'and', 'provided', 'her', 'food', 'for', '20days', 'CMO_Odisha', 'PMOIndia', 'bmcbbsr', 'cpbbsrctc', 'SSEPD2', 'Naveen_Odisha', 'DMKhordha', 'HFWOdisha', 'https', 't.co/2mJF4n6ifP']",,Mausi tarini slumBbsrdue to Lockdown the 2nd wave of corona is facing a lot of problems to lack of foodour Help India rushed to her home and provided her food for 20days ,[]
773,773,#8YearsToInfinityWithBTS #BTS8thAnniversary SIDHARTH IN DANCE DEEWANE 3 Bullywood Plotted To Kill SSR #bhuvanbam #EuroOnSonyTen Wales #YouTubers  #bhuvanbam  #ISIS  #SITA  #taimur  #DigvijaySingh  #corona,en,"['#8YearsToInfinityWithBTS', '#BTS8thAnniversary', '#bhuvanbam', '#EuroOnSonyTen', '#YouTubers', '#bhuvanbam', '#ISIS', '#SITA', '#taimur', '#DigvijaySingh', '#corona']",[],[],"['8YearsToInfinityWithBTS', 'BTS8thAnniversary', 'SIDHARTH', 'IN', 'DANCE', 'DEEWANE', '3', 'Bullywood', 'Plotted', 'To', 'Kill', 'SSR', 'bhuvanbam', 'EuroOnSonyTen', 'Wales', 'YouTubers', 'bhuvanbam', 'ISIS', 'SITA', 'taimur', 'DigvijaySingh', 'corona']",, SIDHARTH IN DANCE DEEWANE 3 Bullywood Plotted To Kill SSR Wales ,[]
