,created_at,username,tweet,language,replies_count,retweets_count,likes_count
84,2021-03-07 23:07:19 India Standard Time,ubeyda,"gong xi fa cai!  Happy new year, y'all! Just heard a few bangs nearby. Still celebrating? Geez, did'nt know  Chinese New Year got pushed back because of covid-19.     :)",en,3,11,59
86,2021-03-07 22:55:40 India Standard Time,vrmahajan,"Dear @DHFWKA &amp; @CMofKarnataka, we share border with 3 States in this list.  Take a right step in right time to save the state from another complete #lockdown. @mla_sudhakar  #COVID19 #KarnatakaFightsCorona #coronavirus #COVID #Lockdown4 #LockdownNao #lockdown2021",en,0,0,0
91,2021-03-07 22:05:13 India Standard Time,shwetamunjal,On one hand there is night curfew and on a top of a building many  people dancing and playing loud music after 10 pm - no Covid-19 restrictions for them...unacceptable! @MumbaiPolice need urgent action pls!!,en,0,1,5
92,2021-03-07 22:01:40 India Standard Time,utpalborpujari,"My Maa (late 70s) and Deuta (mid 80s) took the 1st dose of #CovidVaccine (#Covishield) yesterday in #Guwahati. No side effects till now. Please take the vaccine when it's available, but continue to take the precautions against #COVID19 till the threat subsides.",en,2,3,36
106,2021-03-07 20:16:16 India Standard Time,samrinahashmi,“Feminism isn't about making women stronger. Women are already strong. It's about changing the way the world perceives that strength.”  🌺Happy Women’s Day 🌺  Theme: 'Women in leadership: Achieving an equal future in a COVID-19 world.'  https://t.co/6tds6mYd30,en,0,0,6
109,2021-03-07 19:49:39 India Standard Time,hanuman72477667,"@BBCHindi This restriction or Action taken by USA was necessary because China has destroyed a large number of mankind by Covid 19 and captured a large number of land forcefully  from nearby  countries, same in the see areas by the support of like this Companies so it's right design by USA.",en,0,0,0
110,2021-03-07 19:45:55 India Standard Time,dprosirmaur,"*Sirmaur Corona Sample Details*   RTPCR pending 0, positive 0  RTPCR New 201, positive 21, Inprocess 0  Trunat 0  Sai hospital TNC 3, positive 0  Sai hospital RAT 0, Positive 0  RAT 8, positive 0  Total sample 212, Positive 21  Recovered 2  Active 84  #COVID19 #7pmbulletin  https://t.co/me1BBRxQNk",en,0,0,3
116,2021-03-07 19:00:19 India Standard Time,gallfox1,We will die because the pollution before will die from covid19!  #whatishappeninginthailand #chiangmai #thailand,en,0,0,1
118,2021-03-07 18:50:07 India Standard Time,engrcumvetnurse,"We are here for the Astrazeneca COVID-19 Vaccination at Dialysis Center Al Barsha Dubai, United Arab Emirates. Jab done🤸  https://t.co/t0I5AAL0Qs",en,1,0,1
119,2021-03-07 18:32:06 India Standard Time,arifuzzaman_bd,"@UNICEFBD Received the 1st dose of vaccine against COVID19. Thanks to Bangladesh Government, @UNICEFBD @gavi @ICRC_bd and others who are engaged in this excellent intervention!  https://t.co/ieVRg3I6Ol",en,0,0,1
121,2021-03-07 17:59:20 India Standard Time,oshanda77,Cooked for the first time after #COVID19  https://t.co/INdvV0CCfM,en,0,0,6
122,2021-03-07 17:46:03 India Standard Time,polavijay1,"Covaxin Vaccine is available in Market, pl do take vaccination and also it is administered for your loved ones and stay safe from Covid.19.",en,0,1,0
123,2021-03-07 17:42:26 India Standard Time,drmurukadas,07.03.2021 Recently #Covid_19+ve cases in India is showing declining trend.But rise in cases in the last 24 hrs is 18711slightly higher than yesterday(18327). Total cases today is11210799  -recovery so far is 10868520 (97.95%);fatalities -157756 (1.41)&amp;active cases-184523 (1.55%),en,0,0,1
124,2021-03-07 17:39:18 India Standard Time,brahmleendua1,"Covid-19 vaccine rollout by India has 'rescued the world' from pandemic, says top US scientist  https://t.co/f05eKE2UQs via @timesofindia",en,0,0,2
126,2021-03-07 17:31:59 India Standard Time,anurag_acharya,"#Sauraha seems to be getting back on track , as #Nepal continues to overcome #COVID19 crisis.  https://t.co/etjvgCW6J7",en,0,0,1
133,2021-03-11 04:14:47 India Standard Time,azaliahjsalleh,Fun learning for children during covid-19 Pandemic 13 March 2021 Saturday  10am -12pm  https://t.co/IVggORcQ06,en,0,0,1
137,2021-03-11 01:44:18 India Standard Time,mabdinoor72,@NjoroDr I think Covid-19 is even a better equalizer,en,0,0,0
138,2021-03-11 01:27:19 India Standard Time,sadafsayeed,"I cant understand the logic of this over subscription ? Isn’t travel industry affected the most by #COVID19  #Pandemic ? There are still many restriction on travel , why is public jumping to own a share of this business ?",en,0,1,1
143,2021-03-11 00:28:00 India Standard Time,alirazatweets,"Gilgit Baltistan is COVID-19 free with 0 active cases. Although, GB is not densely populated but still CM GB Khalid Khurshid deserves applause for his outstanding efforts  in making GB COVID-19 free",en,4,235,1348
145,2021-03-11 00:12:28 India Standard Time,vanmacchiato,"Today, I received my first dose of COVID-19 vaccine. #kuwait #PfizerVaccine  https://t.co/Umisdkyh5w",en,5,0,4
