Username,Userhandle,Time,comments,retweets,likes,Tweet
Neurology Journal,@GreenJournal,2021-07-30T23:53:03.000Z,,3,16,What are the clinical consequences of extended interval dosing (EID) of #ocrelizumab in relapsing-remitting multiple #sclerosis (RRMS) during the #COVID-19 pandemic? Read the study now: https://bit.ly/3la9VV5 #neurology
James (Jim) Walker,@CruiseLaw,2021-07-30T23:42:52.000Z,1,11,8,"One in Three Cruise Ships in U.S. Waters Have COVID-19 On Board – Six Passengers on Adventure of the Seas Test Positive https://cruiselawnews.com/2021/07/articles/disease/one-in-three-cruise-ships-in-u-s-waters-have-covid-19-on-board-six-passengers-on-adventure-of-the-seas-test-positive/… 
@RoyalCaribbean
 #COVID19 #cruise / great reporting by 
@MorganEmHines
 of 
@USATODAY
 & 
@taydolven
 of 
@MiamiHerald"
Foul Mouthed Mom ,@IamNurseTrish,2021-07-30T23:50:27.000Z,3,11,53,Don’t let ANYONE bully you into not taking the precautions you need to take to keep yourself or the people you love safe from COVID-19.
Univision News,@UnivisionNews,2021-07-30T23:45:00.000Z,7,34,41,"As Covid-19 cases are spiking, Texas Gov. Greg Abbott signed an executive order prohibiting cities, school districts, and other government entities from enacting vaccine and mask mandates. 
@txstateteachers
 president 
@OvidiaMolina
 says, ""Our governor is not listening to us."""
Doryen Chin (she/they) ,@HeyDoryen,2021-07-30T23:44:49.000Z,5,3,35,"speaking from experience, my “mild” case of COVID-19 absolutely SUCKED and was easily the sickest i’ve ever been. worse than the flu, worse than strep…

NOTHING can prepare you for how awful this  illness can hit you.

get the goddamn vaccine if you’re eligible & MASK UP!!!"
Global Edmonton,@GlobalEdmonton,2021-07-30T23:42:34.000Z,17,73,285,"B.C.’s health minister says the province won’t emulate Alberta’s controversial plans to end COVID-19 contact tracing and mandatory self-isolation for people who test positive.
#yeg"
azcentral,@azcentral,2021-07-30T23:55:07.000Z,58,74,216,"With the spread of COVID-19 delta variant in Arizona, some restaurants are asking for proof of vaccination. Some critics have falsely argued that this violates HIPPA. It is not illegal for businesses to ask patrons if they have been vaccinated."
Cleavon MD ,@Cleavon_MD,2021-07-30T23:33:21.000Z,3,21,71,"Update: As of yesterday, the Provincetown COVID Cluster grew to nearly 900 cases.  As a result, on July 27, CDC recommended ALL persons, including those fully vaccinated, should wear masks in indoor public settings in areas where COVID-19 transmission is high or substantial."
FOX5 Las Vegas,@FOX5Vegas,2021-07-30T23:38:45.000Z,55,54,205,All state of Nevada employees who are not fully vaccinated will be required to take weekly COVID-19 tests and submit results to their human resources director starting Aug. 15.
Paul Huggins,@phuggins,2021-07-30T23:39:53.000Z,,2,10,Here’s an idea: just take advantage of the absolute miracle that is the COVID-19 vaccine and get vaccinated. FFS.
Professor Sandra Lapointe,@mslapointe,2021-07-30T23:31:05.000Z,,5,14,"Universities need to step up and protect their faculty, staff and students. Requiring vaccination is not a violation of freedom. 

We all need to be vaccinated for mumps as kids and schools won’t let kids in who are not. How is COVID-19 any different - or indeed less urgent!"
magdalena osumi ,@jt_mag_os,2021-07-30T23:49:05.000Z,15,9,21,"
A question for those who live in Japan:

Do you feel any difference between Japan’s emergency measures against COVID-19 and quasi-state of emergency? 

What do you think about those measures?"
David Charns,@davidcharns,2021-07-30T23:31:21.000Z,8,14,20,"A Las Vegas father of five who contracted COVID-19 while on vacation texted his fiancé from the hospital, “I should have gotten the damn vaccine,” she told 
@8NewsNow
: https://bit.ly/3xgEpqy"
KENS 5,@KENS5,2021-07-30T23:45:00.000Z,4,29,15,"A COVID-19-positive Texas man was arrested after authorities said he intentionally breathed on vulnerable family members, and later led police on a chase after assaulting a woman."
KPBS News,@KPBSnews,2021-07-30T23:30:07.000Z,,4,6,"Dr. Eric Topol of the Scripps Research Translational Institute in La Jolla joined Midday Edition with his takeaways on the new data for the Delta variant.

It's more transmissible than initially thought, and results in more severe infections of COVID-19.

https://bit.ly/3BVKpZw"
Morgan Lee Richardson,@MRichardsonArt,2021-07-30T23:57:55.000Z,,3,36,It’s nice to see Disney making the right calls—requiring all nonunion U.S. employees to have COVID-19 vaccinations. Time for union negotiations and Guest requirements.
Science News,@ScienceNews,2021-07-30T23:50:01.000Z,12,35,63,"Studies suggest that until transmission of the coronavirus is squashed, millions of organ transplant recipients, cancer patients undergoing treatment and others are susceptible to severe COVID-19, even if they are lucky enough to have access to shots. https://sciencenews.org/article/coronavirus-covid-19-booster-shots-vaccines-immunocompromised-people…"
Virgil Hawkins,@Yadd_No_K,2021-07-30T23:56:39.000Z,,3,10,Rolling Loud and Lollapalooza about to have these college campuses and high schools going crazy with Covid-19
MarketWatch,@MarketWatch,2021-07-30T23:44:07.000Z,32,28,46,COVID-19 cases in Florida jumped 50% this week
Kenneth,@Kenny_TP,2021-07-30T23:40:51.000Z,1,1,16,"..which means stay vigilant at all times. Getting fully vaccinated does not mean you should be complacent and reckless out there. You can still catch this variant. 

- This does not mean you should not get vaccinated. Vaccines remain the only shield we have against COVID-19."
Mary,@Scrappy_Pro,2021-07-30T23:40:05.000Z,1,2,11,"Fried defies DeSantis, posts daily Florida COVID-19 data on state Agriculture Department page #NewsBreak"
California State of Mind Podcast,@YourGoldenState,2021-07-30T23:49:22.000Z,1,10,3,"California faces a COVID-19 #Deltavariant surge and wildfires continue to ravage the state. 
@emily_hoeven
 
@FromBenC
 and 
@SRodd_CPR
 join 
@nigelduara
 and 
@_Nixo
 to talk about how Newsom’s response could impact the #Californiarecall https://link.chtbl.com/CSOMep34"
SEMI TURAGA,@SemiTuraga,2021-07-30T23:35:46.000Z,1,2,21,64 COVID-19 patients in Fiji are currently on oxygen support and 3 patients are on ventilators. #TeamFiji #Fiji
USAFacts,@USAFacts,2021-07-30T23:59:31.000Z,1,8,9,"Your daily COVID-19 map has been updated. There were 66,354 newly reported COVID-19 cases and 313 newly reported COVID-19 deaths on July 29, 2021. Track the cases in your state and county here:"
Ray Price,@_RayPrice,2021-07-30T23:56:29.000Z,1,3,16,"The #DeltaVariant of COVID-19 is as contagious as chickenpox. 

Too bad I don't know how contagious chickenpox is because everyone around me was vaccinated for it."
Hattiesburg American,@hburgamerican,2021-07-30T23:48:15.000Z,3,25,23,"The Mississippi State Department of Health has recorded over 10,000 new cases of COVID-19 in the past week."
Asia-News-De,@base_thai,2021-07-30T23:30:05.000Z,,2,6,"Death rites pose deadly risk
#Bangkok City Hall on Friday began a Covid-19 vaccination programme for Buddhist monks, undertakers and other temple workers who handle the corpses of Covid-19 victims"
Theo Allen - Universal Masking ,@UniversalMaski2,2021-07-30T23:57:49.000Z,,,,"Replying to 
@UniversalMaski2
 
@noellejt
 and 46 others"
The American Independent,@AmerIndependent,2021-07-30T23:42:01.000Z,5,12,18,"So, the GOP refuses to wear masks indoors AND also refuses to require COVID-19 vaccines. Help."
Matt Derrick,@mattderrick,2021-07-30T23:55:33.000Z,1,2,11,Roster back at 89. RB Darwin Thompson still on COVID-19 reserve and doesn’t count towards the 90-player roster limit.
CNN International,@cnni,2021-07-30T23:55:13.000Z,10,27,136,"As the US faces a surge in Covid-19 cases, Disney and Walmart have moved to require certain employees be vaccinated"
@MartySilk,@MartySilkHack,2021-07-30T23:32:47.000Z,4,3,8,"NEW: Queensland Deputy Premier Steven Miles, Health Minister Yvette D'Ath and Chief Health Officer Jeanette Young will give a COVID-19 update at 10am.

Make of that what you will."
