,words,scores
941,dedicate,6
942,novel,6
943,cricket,6
944,military,6
945,soul,6
946,grant,6
947,coverage,6
948,warn,6
949,protection,6
950,efficacy,6
951,theatre,6
952,target,6
953,containment,6
954,army,6
955,deny,6
956,attention,6
957,hall,6
958,gym,6
959,accept,6
960,chennai,6
961,wash,6
962,visuals,6
963,catch,6
964,negligence,6
965,irresponsible,6
966,scam,6
967,realise,6
968,fun,6
969,experience,6
970,deliver,6
971,grow,6
972,walk,6
973,committee,6
974,transport,6
975,agency,6
976,track,6
977,democracy,6
978,din,6
979,absolute,6
980,distribution,6
981,handle,6
982,yeh,6
983,serve,6
984,short,6
985,kept,6
986,male,6
987,strategy,6
988,protest,6
989,rare,6
990,fda,6
991,storm,6
992,who,6
993,religious,6
994,implement,6
995,elderly,6
996,advise,6
997,priority,6
998,info,6
999,forever,6
1000,sign,6
1001,bhopal,6
1002,course,6
1003,imagine,6
1004,kerala,6
1005,ambulance,6
1006,bar,6
1007,deadline,6
1008,correct,6
1009,sector,6
1010,bhai,6
1011,load,6
1012,store,6
1013,ridiculous,6
1014,observe,6
1015,note,6
1016,queue,6
1017,massive,6
1018,deal,6
1019,collector,6
1020,ongoing,6
1021,enforce,6
1022,poonch,6
1023,latest,6
1024,pvt,6
1025,import,6
1026,sell,6
1027,satyam,6
1028,spo,6
1029,equipment,6
1030,daughter,6
1031,refuse,6
1032,shopping,6
1033,embargo,6
1034,assemble,6
1035,forcibly,6
1036,abduct,6
1037,kanphyar,6
1038,offline,5
1039,cash,5
1040,congratulation,5
1041,challenge,5
1042,function,5
1043,british,5
1044,journalist,5
1045,strength,5
1046,concerned,5
1047,building,5
1048,violation,5
1049,witness,5
1050,press,5
1051,par,5
1052,adult,5
1053,billion,5
1054,university,5
1055,panel,5
1056,youth,5
1057,operation,5
1058,hat,5
1059,med,5
1060,bill,5
1061,chinese,5
1062,row,5
1063,trend,5
1064,section,5
1065,practice,5
1066,airport,5
1067,prove,5
1068,justice,5
1069,accord,5
1070,seek,5
1071,celebrate,5
1072,code,5
1073,jump,5
1074,foreign,5
1075,twice,5
1076,lie,5
1077,exist,5
1078,spent,5
1079,yall,5
1080,terrible,5
1081,kit,5
1082,permit,5
1083,spreader,5
1084,jammu,5
1085,kashmir,5
1086,statistic,5
1087,transfer,5
1088,worse,5
1089,timing,5
1090,hawker,5
1091,bear,5
1092,certain,5
1093,rajasthan,5
1094,reality,5
1095,east,5
1096,neighbour,5
1097,appear,5
1098,basic,5
1099,website,5
1100,atleast,5
1101,bangladesh,5
1102,anybody,5
1103,definitely,5
1104,ncr,5
1105,habit,5
1106,unfortunately,5
1107,globally,5
1108,complain,5
1109,graph,5
1110,kya,5
1111,mode,5
1112,preet,5
1113,hospitalize,5
1114,aunt,5
1115,isolated,5
1116,ameen,5
1117,prepared,5
1118,similar,5
1119,trouble,5
1120,solve,5
1121,account,5
1122,silent,5
1123,mein,5
1124,alarm,5
1125,precious,5
1126,owner,5
1127,nearest,5
1128,vehicle,5
1129,hrct,5
1130,sanitizer,5
1131,physical,5
1132,attach,5
1133,hero,5
1134,someone,5
1135,reject,5
1136,actual,5
1137,wil,5
1138,doubt,5
1139,dead,5
1140,pakistani,5
1141,tip,5
1142,helpful,5
1143,puducherry,5
1144,part,5
1145,honble,5
1146,eid,5
1147,no,5
1148,model,5
1149,community,5
1150,conspiracy,5
1151,earlier,5
1152,schedule,5
1153,fall,5
1154,rhe,5
1155,process,5
1156,cm,5
1157,complication,5
1158,expensive,5
1159,reporting,5
1160,budget,5
1161,confuse,5
1162,hot,5
1163,more,5
1164,volunteer,5
1165,communication,5
1166,america,5
1167,worried,5
1168,pub,5
1169,pmam,5
1170,varanasi,5
1171,forgotten,5
1172,varanasiheritage,5
1173,gurgaon,5
1174,maha,5
1175,attendent,5
1176,buy,5
1177,wall,5
1178,serum,5
1179,incident,5
1180,roll,5
1181,nsa,5
1182,announces,5
1183,ramban,5
1184,leak,4
1185,fuck,4
1186,fly,4
1187,finance,4
1188,permanent,4
1189,there,4
1190,ali,4
1191,regard,4
1192,jaipur,4
1193,prioritize,4
1194,united,4
1195,deserve,4
1196,science,4
1197,attempt,4
1198,hundred,4
1199,fatality,4
1200,dialysis,4
1201,opportunity,4
1202,cure,4
1203,precautionary,4
1204,tackle,4
1205,france,4
1206,review,4
1207,felt,4
1208,spending,4
1209,beautiful,4
1210,jay,4
1211,fair,4
1212,difficulty,4
1213,sport,4
1214,program,4
1215,dream,4
1216,ash,4
1217,sharqiyah,4
1218,fee,4
1219,income,4
1220,illegal,4
1221,attitude,4
1222,worsen,4
1223,earliest,4
1224,biotech,4
1225,officer,4
1226,pneumonia,4
1227,shanti,4
1228,vihar,4
1229,cut,4
1230,determine,4
1231,stick,4
1232,luck,4
1233,africa,4
1234,accountability,4
1235,joke,4
1236,mob,4
1237,maam,4
1238,brought,4
1239,highly,4
1240,technology,4
1241,ssr,4
1242,careful,4
1243,folk,4
1244,difference,4
1245,ipo,4
1246,westbengal,4
1247,asks,4
1248,vacation,4
1249,vanishes,4
1250,personally,4
1251,largest,4
1252,manufacturer,4
1253,bmc,4
1254,educational,4
1255,educate,4
1256,goregaon,4
1257,surat,4
1258,bardoli,4
1259,imp,4
1260,almighty,4
1261,approach,4
1262,cover,4
1263,professional,4
1264,tally,4
1265,overall,4
1266,pledge,4
1267,singapore,4
1268,smell,4
1269,exempt,4
1270,deep,4
1271,gov,4
1272,guidance,4
1273,governance,4
1274,cleaning,4
1275,zone,4
1276,daytime,4
1277,evil,4
1278,gaya,4
1279,century,4
1280,club,4
1281,culprit,4
1282,bazar,4
1283,fan,4
1284,clean,4
1285,gutter,4
1286,hell,4
1287,initiative,4
1288,innoculated,4
1289,zealand,4
1290,traveller,4
1291,larger,4
1292,purpose,4
1293,example,4
1294,statement,4
1295,broke,4
1296,expand,4
1297,ignore,4
1298,reopen,4
1299,hotel,4
1300,thread,4
1301,depends,4
1302,okay,4
1303,proof,4
1304,probe,4
1305,exactly,4
1306,hyderabad,4
1307,driver,4
1308,customer,4
1309,phool,4
1310,sadh,4
1311,phsyciatric,4
1312,cardiac,4
1313,comorbidites,4
1314,imminently,4
1315,helpless,4
1316,predict,4
1317,pendamic,4
1318,package,4
1319,sample,4
1320,especially,4
1321,jamat,4
1322,uncontrolled,4
1323,fauci,4
1324,research,4
1325,farmer,4
1326,preparation,4
1327,brilliant,4
1328,iftar,4
1329,role,4
1330,jampjs,4
1331,ghosh,4
1332,colleague,4
1333,season,4
1334,hospitality,4
1335,monitor,4
1336,govts,4
1337,name,4
1338,knew,4
1339,hum,4
1340,later,4
1341,cough,4
1342,finger,4
1343,strain,4
1344,jampj,4
1345,vyas,4
1346,bath,4
1347,respond,4
1348,saturday,4
1349,express,4
1350,unable,4
1351,kuch,4
1352,apart,4
1353,region,4
1354,baby,4
1355,article,4
1356,dept,4
1357,ticket,4
1358,checked,4
1359,frm,4
1360,municipal,4
1361,corporation,4
1362,coz,4
1363,lesson,4
1364,employee,4
1365,grateful,4
1366,aiims,4
1367,planning,4
1368,waste,4
1369,mandatory,4
1370,propaganda,4
1371,ruling,4
1372,crime,4
1373,epidemic,4
1374,primary,4
1375,danger,4
1376,cheap,4
