,created_at,username,tweet,language,replies_count,retweets_count,likes_count
335,2021-07-31 03:01:29 India Standard Time,ajaykumar010712,India daily updated records 44230 new COVID-19 cases along with 555 fatalities in past 24 hours,en,0,0,0
336,2021-07-31 02:44:59 India Standard Time,n65_h,vaccine covid 19 💉  https://t.co/GYKaO5Nyth,en,0,0,2
341,2021-07-31 02:12:21 India Standard Time,muhamma92332495,@NaisrF @OfficialNcoc vaccine is prevention but after vaccination still we have chance to get effect by covid-19 and delta virus( indian variant ) which is very dangerous so we need to take all precautionary measures still after vaccination. And no one doctor will give you surety of life in the world.,en,0,0,3
350,2021-07-31 00:33:23 India Standard Time,lrip_of,"#SindhGovt to impose lockdown of 2 weeks due to rise in #COVID19 cases.  Economic Indicators of the State are not very optimistic,keeping in view our domestic&amp; International obligations.  #lockdownextension by any means is not a solution,else people will die of hunger. #Pakistan  https://t.co/z47osDGjS2",en,0,0,0
355,2021-07-31 00:02:11 India Standard Time,ravinimmala669,"Sir,God bless u.eee Covid 19 situation 12 days successfully complement cesaru ante   really god.@jai etala,jai mudiraj.",en,0,0,0
356,2021-07-31 00:01:50 India Standard Time,sadiajavedppp,"Due to rising cases of #COVID_19 in April 2021 #PunjabGovt took initiative for the People of Lahore, No question raised by #TabahiSarkar but if @CM_Sindh take initiative for his People political start from federal government @BBhuttoZardari @BakhtawarBZ @AseefaBZ @FaryalTalpurPk  https://t.co/5lap9huufD",en,0,26,56
359,2021-07-30 23:43:26 India Standard Time,kanhaiyamodi11,"#Unite2FightCorona #LargestVaccineDrive  ➡️ India’s Cumulative #COVID19 Vaccination Coverage exceeds 45.60 Cr (45,60,33,754).  ➡️ 51.83 lakh vaccine doses administered in last 24 hours.   https://t.co/s7XmKKfVQK  https://t.co/XS1ojuHnhK",en,0,0,1
362,2021-07-30 23:17:55 India Standard Time,amnashath,COVID-19 vaccination appointments are now open for all residents in Greater Malé Area.   Book an appointment date and time of your choice for your FIRST &amp; SECOND dose of the AstraZeneca vaccine via  https://t.co/rTQeGJ8bnD  https://t.co/ME4vvwWxrr,en,0,0,1
371,2021-07-30 23:00:58 India Standard Time,hamzaorakzai,"If #Pakistan had a #COVID19 variant that went to #India, I am sure #Indians would have labelled it globally as #Pakistani Variant ferociously.m. Here is Pakistan, decent enough to call it #Delta Variant.",en,0,0,5
383,2021-07-30 22:09:45 India Standard Time,ranjank79801841,@yadavtejashwi @RahulGandhi @RJDforIndia .. 99.37% Board Results Indication of Big Loss For Future. No any type examined by Board and Results percentages is very high. Covid19 give past present and future losses.  But these government also happened and proud. #jago 🇮🇳,en,0,0,0
389,2021-07-30 22:02:39 India Standard Time,aabi_libra,Centre disapproves of Karachi lockdown as Sindh mulls curbs. #CoronaVirusUpdates #COVID19 #Karachi #DeltaVariant #StaySafeStayHealthy #SOPs #VaccinesSaveLives  @ayazhassan84 @channaism @aabi_libra @SindhCMHouse,en,0,0,0
11,2021-07-05 04:49:20 India Standard Time,anuj_dce,"My parents, senior citizens and vaccinated are on the way to Port Blair from Delhi Airport to meet my brother who is in critical cond in GB Pant Hospital, Port Blair, are being denied to take the flight due to absence of Covid report. Please help @PMOIndia @AiFlywith @airindiain",en,1,0,0
