,words,scores
1341,spike,3
1342,visitor,3
1343,texa,3
1344,confer,3
1345,constitu,3
1346,camp,3
1347,strictli,3
1348,gurjant,3
1349,singh,3
1350,japan,3
1351,owe,3
1352,unabl,3
1353,bill,3
1354,mco,3
1355,partial,3
1356,siren,3
1357,oversea,3
1358,polio,3
1359,stronger,3
1360,approach,3
1361,improv,3
1362,dammam,3
1363,proof,3
1364,civilian,3
1365,micro,3
1366,identifi,3
1367,gender,3
1368,impri,3
1369,owner,3
1370,puducherri,3
1371,necessari,3
1372,jam,3
1373,assist,3
1374,vice,3
1375,haryana,3
1376,extens,3
1377,energi,3
1378,reveal,3
1379,deni,3
1380,mishandl,3
1381,justic,3
1382,howrah,3
1383,mysor,3
1384,shivrajchauhan,3
1385,english,3
1386,enforc,3
1387,guidanc,3
1388,kotak,3
1389,innoc,3
1390,srinagar,3
1391,exactli,3
1392,ponder,3
1393,gwalior,3
1394,tonight,3
1395,deptt,3
1396,file,3
1397,srilanka,3
1398,dho,3
1399,capit,3
1400,monitor,3
1401,bommai,3
1402,applic,3
1403,hold,3
1404,trial,3
1405,rescu,3
1406,buddha,3
1407,endem,3
1408,wors,3
1409,wall,3
1410,heal,3
1411,softwar,3
1412,brahmin,3
1413,mosquito,3
1414,fewer,3
1415,throw,3
1416,contagi,3
1417,trace,3
1418,midnight,3
1419,unannounc,3
1420,mushtaq,3
1421,mahar,3
1422,appli,3
1423,abu,3
1424,dhabi,3
1425,meghalaya,3
1426,indefinit,3
1427,khost,3
1428,joint,3
1429,qurantin,3
1430,keheliya,3
1431,rambukwella,3
1432,dcgi,3
1433,feed,2
1434,cylind,2
1435,vial,2
1436,plant,2
1437,restart,2
1438,fadnavi,2
1439,sign,2
1440,simpl,2
1441,amen,2
1442,sum,2
1443,grassroot,2
1444,strait,2
1445,preciou,2
1446,fan,2
1447,favor,2
1448,council,2
1449,unhcr,2
1450,error,2
1451,ameen,2
1452,flob,2
1453,dan,2
1454,bridg,2
1455,felt,2
1456,shipment,2
1457,sinopharm,2
1458,fulfil,2
1459,covax,2
1460,tst,2
1461,dch,2
1462,vti,2
1463,friendship,2
1464,indic,2
1465,mixtur,2
1466,asap,2
1467,dream,2
1468,nft,2
1469,choic,2
1470,kuala,2
1471,lumpur,2
1472,bottl,2
1473,slowdown,2
1474,mismanag,2
1475,thursday,2
1476,heartfelt,2
1477,cite,2
1478,qiamat,2
1479,mrna,2
1480,fortun,2
1481,formal,2
1482,seropreval,2
