,words,scores
609,detail,6
610,dangerous,6
611,tourist,6
612,check,6
613,morocco,6
614,dark,6
615,farmer,6
616,moh,6
617,stage,6
618,push,6
619,confuse,6
620,maybe,6
621,party,6
622,immune,6
623,touch,6
624,portal,6
625,heart,6
626,rain,6
627,pregnant,6
628,chance,6
629,link,6
630,yday,6
631,islamabad,6
632,vietnam,6
633,reject,6
634,judgement,6
635,common,6
636,pledge,6
637,resident,6
638,amid,6
639,muharram,6
640,peak,6
641,bhi,6
642,pas,6
643,healthcare,6
644,incredible,6
645,financial,6
646,east,6
647,happiness,6
648,research,6
649,award,6
650,affect,6
651,beautiful,6
652,goa,6
653,politician,6
654,highly,6
655,experience,6
656,beach,6
657,keep,6
658,middle,6
659,story,6
660,mightiest,6
661,match,6
662,general,6
663,everyday,6
664,model,6
665,sample,6
666,inf,6
667,actv,6
668,act,6
669,restaurant,6
670,tax,6
671,worth,6
672,statement,6
673,water,6
674,damage,6
675,caste,6
676,neem,6
677,thousand,6
678,clinic,6
679,graph,6
680,picked,6
681,ticket,6
682,expect,6
683,mandate,6
684,ramadan,6
685,sell,6
686,implement,6
687,launch,6
688,hello,6
689,mobile,6
690,glad,6
691,florida,6
692,contain,6
693,negative,6
694,blood,6
695,career,6
696,bordering,6
697,fine,6
698,origin,6
699,timing,6
700,temple,5
701,contact,5
702,instead,5
703,bjp,5
704,currently,5
705,mass,5
706,website,5
707,probably,5
708,positivity,5
709,shower,5
710,mercy,5
711,department,5
712,access,5
713,iran,5
714,cope,5
715,initiate,5
716,assure,5
717,properly,5
718,lower,5
719,battle,5
720,choose,5
721,credit,5
722,base,5
723,saw,5
724,atleast,5
725,pre,5
726,boost,5
727,drug,5
728,publish,5
729,honour,5
730,uttar,5
731,association,5
732,smart,5
733,rush,5
734,institute,5
735,hard,5
736,gold,5
737,grand,5
738,spokesperson,5
739,discharge,5
740,anti,5
741,din,5
742,told,5
743,fresh,5
744,light,5
745,distribution,5
746,gov,5
747,rag,5
748,sacrifice,5
749,arr,5
750,dep,5
751,announces,5
752,lock,5
753,register,5
754,injection,5
755,passport,5
756,ban,5
757,ill,5
758,behaviour,5
759,hundred,5
760,spoke,5
761,programme,5
762,ash,5
763,onam,5
764,approval,5
765,bhopal,5
766,singapore,5
767,word,5
768,mandatory,5
769,educational,5
770,vacation,5
771,zero,5
772,eat,5
773,pain,5
774,uncle,5
775,moment,5
776,construction,5
777,lie,5
778,attend,5
779,car,5
780,stats,5
781,pune,5
782,decide,5
783,fire,5
784,seriously,5
785,celebration,5
786,danger,5
787,bmc,5
788,pvt,5
789,plus,5
790,higher,5
791,saudi,5
792,delivery,5
793,pick,5
794,document,5
795,win,5
796,hall,5
797,seat,5
798,census,5
799,minute,5
800,truth,5
801,dead,5
802,hurdle,5
803,rani,5
804,salary,5
805,sinovac,5
806,concern,5
807,brought,5
808,expert,5
809,inspector,5
810,propaganda,5
811,immunity,5
812,promote,5
813,duty,5
814,distribute,5
815,rest,5
816,enjoy,5
817,station,5
818,upcoming,5
819,role,5
820,tourism,5
821,declare,5
822,information,5
823,whatsapp,5
824,alert,5
825,teacher,5
826,mahdi,5
827,developed,5
828,different,5
829,bit,5
830,beg,5
831,process,5
832,note,5
833,wrong,5
834,officer,5
835,phase,5
836,postpone,5
837,kept,5
838,minh,5
839,extends,5
840,amaze,5
841,cluster,5
842,unit,5
843,potential,5
844,press,5
845,offer,5
846,space,5
847,specialist,5
848,law,5
849,immediately,5
850,uae,5
851,historic,5
852,guess,5
853,coz,5
854,emirate,5
855,decisive,5
856,explanatorystatement,5
857,karachites,5
858,zycovd,5
859,ivermectin,4
860,politics,4
861,export,4
862,transport,4
863,honourable,4
864,ali,4
865,shah,4
866,screen,4
867,birthday,4
868,early,4
869,wiks,4
870,initiative,4
871,bengaluru,4
872,room,4
873,fall,4
874,sick,4
875,more,4
876,maldives,4
877,rightly,4
878,direction,4
879,scale,4
880,useless,4
881,loan,4
882,play,4
883,pfizer,4
884,laboratory,4
885,profit,4
886,imagine,4
887,produce,4
888,frontline,4
889,leadership,4
890,strengthen,4
891,moderna,4
892,cdc,4
893,progress,4
894,ministry,4
895,welfare,4
896,arrive,4
897,victim,4
898,junta,4
899,theyre,4
900,red,4
901,competition,4
902,driver,4
903,insurance,4
904,dy,4
905,with,4
906,karachi,4
907,slight,4
908,priority,4
909,humble,4
910,shame,4
911,earn,4
912,struggle,4
913,oil,4
914,log,4
915,becase,4
916,mess,4
917,isolation,4
918,supreme,4
919,maintain,4
920,recommend,4
921,seawood,4
922,customer,4
923,route,4
924,nahi,4
925,nearly,4
926,main,4
927,who,4
928,picture,4
929,development,4
930,billion,4
931,vigilant,4
932,package,4
933,shameless,4
934,organise,4
935,finance,4
936,select,4
937,name,4
938,dhaka,4
939,sharqiyah,4
940,shortage,4
941,dna,4
942,unfortunately,4
943,december,4
944,additional,4
945,bhai,4
946,clothes,4
947,eligible,4
948,target,4
949,forest,4
950,repeat,4
951,loud,4
952,coach,4
953,gon,4
954,sec,4
955,self,4
956,exists,4
957,vendor,4
958,add,4
959,church,4
960,function,4
961,tha,4
962,biden,4
963,court,4
964,korea,4
965,limit,4
