,created_at,username,tweet,language,replies_count,retweets_count,likes_count
79,2021-08-06 11:58:29 India Standard Time,gelyienaosman,COVID IS REAL  #covid19  #coronavirus  #virusjahat  #wabakmerebak  #kematianbertambah  #kitamestimenang  #kitamasihbelummenang  #jagadirijagakeluarga  #kitajagakitaallahjagakita  #sayangikeluarga  #sayangimalaysiaku  https://t.co/I5QqOuciU7,en,0,0,0
88,2021-08-06 08:50:51 India Standard Time,chellam73628887,Coronavirus youth and old people coronavirus death  https://t.co/ivVm0Zx35S,en,0,0,0
89,2021-08-06 08:50:25 India Standard Time,chellam73628887,Coronavirus youth and old people coronavirus death  https://t.co/yfZjkbAbH0,en,0,0,0
92,2021-08-06 06:46:02 India Standard Time,henrychanesq,I have thoroughly gotten used to Zoom and am quite familiar with Microsoft Team. I think both software are good for WFH or WFA. We need to live with the software as we need to live with Coronavirus for some time.,en,0,0,0
93,2021-08-05 22:28:20 India Standard Time,thomasteapen11,Craze for Chinese products/ideas since corona virus is in raise  in Kerala.,en,0,0,4
95,2021-08-09 02:12:44 India Standard Time,sindabad_7,"Sukria to Greatest Almighty ALLAH SWT &amp; Save Me, My Family &amp; Relatives From deadly Corona  Virus  https://t.co/qjBsQLJPpB",en,0,0,1
99,2021-08-08 23:42:42 India Standard Time,chellam73628887,Coronavirus marriages home marriage small group marriages and low budget cost marriage  https://t.co/iMJ8ARe17q,en,0,0,0
100,2021-08-08 23:40:28 India Standard Time,chellam73628887,Lovers life   Coronavirus death  https://t.co/5rQSmKUDSL,en,0,0,0
103,2021-08-08 23:38:48 India Standard Time,chellam73628887,Coronavirus youth and old people coronavirus death  https://t.co/2bl6WSk8eA,en,0,0,0
105,2021-08-08 23:07:44 India Standard Time,paliwalshikhar,Get your Covid vaccination certificate within seconds on your WhatsApp #LargestVaccinationDrive #COVID #coronavirus #DeltaPlusVariant #GetVaccinatedNow #VaccineCertificate  https://t.co/GF821h7e52,en,0,0,0
106,2021-08-08 23:04:46 India Standard Time,chellam73628887,Coronavirus marriages home marriage small group marriages and low budget cost marriage  https://t.co/MyIdfLNsxQ,en,0,0,0
111,2021-08-08 23:01:09 India Standard Time,chellam73628887,Coronavirus youth and old people coronavirus death  https://t.co/JTgEZnNTdr,en,0,0,0
112,2021-08-08 22:59:14 India Standard Time,profvikas,Fight against #Covid19 progresses in #india at an unprecedented pace with 50 crore #vaccine 💉 doses administered under the #LargestVaccinationDrive. #SabkoVaccineMuftVaccine is an important decision by PM @narendramodi ji to safeguard the citizens against the novel #coronavirus!  https://t.co/H3XgHHDeqZ,en,0,0,0
113,2021-08-08 21:05:00 India Standard Time,menakaw9,Media Release – 2021.08.08 Covid death figures reported today 08.08.2021 #Srilankan #Srilanka #lka #Lanka #Ceylon #DGI #Government #Information #Department #News #infodprtsl #Coronavirus #Covid #Corona #Staysafe #Socialdistancing #Virus #Coronav #Pandemic  https://t.co/rzXqWrlQoL,en,0,4,2
114,2021-08-08 20:28:15 India Standard Time,ovaisayings,Pseudo feminism alarming at a higher rate than the variants of corona virus.  https://t.co/BaSbvOtGGF,en,0,0,1
115,2021-08-08 19:15:22 India Standard Time,srilankatweet,94 more coronavirus related deaths confirmed for August 7 #LKA #SriLanka #COVID19SL,en,1,19,70
116,2021-08-08 18:49:08 India Standard Time,saispeakz,"""COVID-19: The R-naught of coronavirus in India surges to 1.01""  Cc @KTRTRS initiate partial lockdown immediately...  https://t.co/Ngod7ekecO",en,1,0,0
117,2021-08-08 18:44:13 India Standard Time,bijoykumarroyn,The risk of re-infection is more than doubled if the corona virus is not vaccinated  https://t.co/Dtvu0mSkYF  https://t.co/eUS5D0ExGp,en,0,0,0
118,2021-08-08 18:22:30 India Standard Time,srilankatweet,So far today 2230 coronavirus cases report in Sri Lanka. Stay Safe 🙏  #LKA #SriLanka #COVID19SL #COVID19LK,en,2,19,56
120,2021-08-08 17:52:23 India Standard Time,pepatungmalam_,Amsterdam Netherlands the city of windmills and beautiful flowers (tulips). Would you like to travel during Coronavirus Pandemic? Now you can enjoy this amazing virtual walking tour through the streets of Amsterdam in Netherlands.  https://t.co/VEbRdb4r0A,en,0,0,0
121,2021-08-08 15:42:05 India Standard Time,iusmanchoudhry,"Pakistan’s response to coronavirus among world’s best, says WHO   https://t.co/JbvA8NpFZp…   #WorldLeaderImranKhan",en,0,4,2
122,2021-08-08 13:18:02 India Standard Time,chellam73628887,Coronavirus marriages home marriage small group marriages and low budget cost marriage  https://t.co/ruE2yzaAUz,en,0,0,0
123,2021-08-08 13:16:12 India Standard Time,chellam73628887,Lovers life   Coronavirus death  https://t.co/kOGZ6gKGXI,en,0,0,0
124,2021-08-08 13:16:05 India Standard Time,chellam73628887,Coronavirus youth and old people coronavirus death  https://t.co/JoMBz6CYnn,en,0,0,0
127,2021-08-08 13:14:56 India Standard Time,chellam73628887,Coronavirus youth and old people coronavirus death  https://t.co/j4oZ4CA8Oe,en,0,0,0
131,2021-08-10 00:22:21 India Standard Time,assir522,May #Allah have mercy on us all. Take away this #coronavirus Pray for all to be free soon. #Alfatihah to those lost their lives. @KKMPutrajaya @bharianmy @hmetromy @UMonline   #covid19 #coronavirus #Allahjagakita #dudukrumah  #KitaJagaKita  https://t.co/rQ2ucwq7pr,en,0,0,0
132,2021-08-10 00:16:39 India Standard Time,alifgrw,#IslamicNewYear #Muharram   May Allah make this year better for us may he shower his mercy and makes us better humans better Muslims aameen ❤💐 May in this upcoming year the world will become free from deadly corona virus aameen   May Allah be please with all of us aameen ❤,en,1,0,0
133,2021-08-09 22:52:54 India Standard Time,umeer_says,May Allah make this year better for us may he shower his mercy and makes us better humans better Muslims aameen ❤💐 May in this upcoming year the world will become free from deadly corona virus aameen.  May Allah be please with all of us aameen ❤ #IslamicNewYear #Muharram,en,0,0,1
134,2021-08-09 22:31:42 India Standard Time,jasghar,"@motasim @yaneerbaryam Yes #LongCovid  is a possibility .  Coronavirus and children One thing is certain — if any variant is more successful in infecting elders, it may infect more children too.  How can we protect our children? The same way we protect ourselves. April 2021   https://t.co/r6HceIBh4S",en,0,4,6
135,2021-08-09 21:44:53 India Standard Time,violedintl,"Cholesterol drug cuts coronavirus infection by 70%, researchers find   https://t.co/TK8Kw1eKIn",en,0,0,0
136,2021-08-09 21:42:35 India Standard Time,coconutshelltw,When ever are going to be free from this shit #coronavirus #mythoughts,en,0,0,1
137,2021-08-09 21:03:59 India Standard Time,chellam73628887,Coronavirus marriages home marriage small group marriages and low budget cost marriage  https://t.co/PaOwesFK97,en,0,0,0
139,2021-08-09 21:00:53 India Standard Time,chellam73628887,Coronavirus youth and old people coronavirus death  https://t.co/lTey21IL57,en,0,0,0
141,2021-08-09 21:00:08 India Standard Time,chellam73628887,Coronavirus youth and old people coronavirus death  https://t.co/D7Woa0frvV,en,0,0,0
142,2021-08-09 20:34:22 India Standard Time,jayanta13998620,NIH director urges vaccine mandates to fight coronavirus surge - Washington Times  https://t.co/2rdVuqvYlq,en,0,0,0
143,2021-08-09 20:05:59 India Standard Time,menakaw9,Media Release – 2021.08.09 Covid death figures reported today 2021.08.09 #DGI #Government #Information #Department #News #infodprtsl  #Srilanka #Covid19 #Coronavirus #StaySafe #SocialDistancing #Virus #Pandemic  https://t.co/sNyEbSzM7c,en,0,3,1
144,2021-08-09 18:22:17 India Standard Time,shehryer,#IslamicNewYear #Muharram   May Allah make this year better for us may he shower his mercy and makes us better humans better Muslims aameen ❤💐 May in this upcoming year the world will become free from deadly corona virus aameen   May Allah be please with all of us aameen ❤  https://t.co/tKaCRqH4dL,en,0,0,1
145,2021-08-09 18:08:00 India Standard Time,srilankatweet,So far today 1928 coronavirus cases report in Sri Lanka #LKA #SriLanka #COVID19SL #COVID19LK,en,0,10,68
146,2021-08-11 01:41:46 India Standard Time,naeemsi22341052,The United Arab Emirates (UAE) has exempted Pakistani travelers from the cocoa vaccination certificate.(UAE) has once again changed its travel restrictions due to coronavirus and issued a new guideline that allows Pakistani citizens to travel to Dubai without a certificate.  https://t.co/cKvI4QwOi0,en,0,0,0
147,2021-08-11 01:20:58 India Standard Time,sayan_dey,"Well, of course! All thanks to you! Actually, we are indebted to you! #COVID19 #Corona #CoronaVirus #China #ShiZhengli  https://t.co/37MpR1gSGi",en,0,0,0
149,2021-08-10 23:08:07 India Standard Time,iravikoranga,Savings - Dark Times 2020😷  Corona has been a major setback since the beginning of the pandemic people have spent their most of the savings in the pandemic and yet fighting for it and setting things from the scratch.  #CovidIsNotOver #Covid_19 #coronavirus #Corona #art  https://t.co/kVGYyy8pIN,en,0,0,5
150,2021-08-10 22:51:22 India Standard Time,samiullah66,Definition of #idiots in pictorial way. These people ain't got any respect.  #Mask #DisposeMasks #CoronaVirus #COVID19  https://t.co/85VBBd5wLq,en,0,0,0
151,2021-08-10 22:45:54 India Standard Time,rafhanahross,Until when have to live in fear with this coronavirus ☹️,en,0,0,2
152,2021-08-10 21:35:46 India Standard Time,npkorat8,"@rtogujarat @rtosurat @collectorsurat @CP_SuratCity @CMOGuj @PMOIndia Who are Responsibles who let them to Drive these types of Heavy Polluting Vehicles in City? Today Morning 10 07 2021, 08 15 AM Varachha Road, Surat City, Felt like this Vehicle Kills Corona Virus in Human body  https://t.co/onPU03ty7x",en,0,0,0
153,2021-08-10 20:58:53 India Standard Time,menakaw9,Media Release - 2021.08.10 Covid death figures reported today 10.08.2021 #DGI #Government #Information #Department #News #infodprtsl  #Srilanka #Covid19 #Coronavirus #StaySafe #SocialDistancing #Virus #Pandemic  https://t.co/pP5D6xY5FQ,en,0,3,1
