,created_at,username,tweet,language,replies_count,retweets_count,likes_count
147,2021-07-09 22:55:36 India Standard Time,isamarths,"Lucknow: A total of 109 samples were sent to KGMU, Lucknow for genome sequencing in which Delta variant of coronavirus has been found in 107 samples. While, Kappa variant has been found in 2 samples.",en,0,3,13
148,2021-07-09 22:50:05 India Standard Time,utsav_aditya,Great initiative @MoHFW_INDIA 🙌 #AatmaNirbharBharat #coronavirus,en,0,0,0
149,2021-07-09 21:26:55 India Standard Time,sanchayitamand2,I think our #IndianGovernment and #newschannels have decided that they will run the #Corona &amp; #coronavirus show till end of #2025,en,0,0,0
153,2021-07-09 21:01:46 India Standard Time,soundirarajanr,Coronavirus death husband wife enjoy death best life  https://t.co/VfyoHy5eSW,en,0,0,0
154,2021-07-09 20:51:53 India Standard Time,iamkhanjan,"Coronavirus variants should not be named lambda, beta etc. It should be Shenzhen, Shanghai or Tianjin or Beijing variant ?",en,0,0,0
156,2021-07-09 20:31:48 India Standard Time,sarmabjp,@SitaramYechury  Did u not feeling shame that a state @CPIMKerala #keralamodel with 3.5 cr population is second in #coronavirus cases in #IndiaFightsCorona .. teach lessons to that #CM @vijayanpinarayi instead of blaming @PMOIndia,en,0,0,0
161,2021-07-09 19:38:10 India Standard Time,saudiwire,M.O.H   “ 13 new death due to Corona virus “,en,0,0,0
162,2021-07-09 19:36:12 India Standard Time,im_sudiptochatt,"A few days ago, I saw many people protesting against the price of petrol and diesel.   Yesterday, the government gave a package of Rs 23K crore in advance to prevent the third wave of #COVID19. Does it have self-promotion?  @WHO @mansukhmandviya #coronavirus #CovidIsNotOver",en,0,0,6
166,2021-07-09 18:54:59 India Standard Time,david_talukdar,Coronavirus vaccination in India Footage: David Talukdar @GettyImagesNews  #coronavirus #VaccinationDrive #India  https://t.co/P0IV9jbPtJ,en,0,1,0
167,2021-07-09 18:40:44 India Standard Time,mulund_info,Mulund Growth    ↔️@ 0.06% Mumbai Average  ↔️@ 0.07%  T-Ward Covid Growth rate till 8th July’2021 - 0.06%  #mulund  #COVID19  #coronavirus  #CoronaVirusUpdate #COVID19India #coronavirus #Mumbai  https://t.co/gGsDZuqxyv,en,0,0,1
