Username,Userhandle,Time,Comments,retweets,likes,Tweet
Akshay Barik,@AkshayBarikh,2021-07-14T15:19:39.000Z,,,1,"My friend Debashis, hailing from a very humble background, is in dire need of a decent #job. In case you have any #jobvacancy leads in and around #Kolkata or other parts of #WestBengal. His father used to sell garments across villages, which has been severely hit by #Covid_19"
Mahesh Saharia,@iamamkay,2021-07-14T13:02:57.000Z,,,,"@MoHFW_INDIA
 
@myogiadityanath
 
@PMOIndia
  
@mansukhmandviya
 Time #India take notice of 
@IsraeliPM
 & few other Countries who declared win over #Covid too soon. Fast #Vaccination is key. Populated  #India has genuine issues with #vaccines. Follow #COVIDAppropriateBehaviour is answer"
মমতাপন্থী শুভঙ্কর,@SUBHANKAR_AITC,2021-07-14T12:39:06.000Z,,,,"#Covid_19 Restrictions Extended In Bengal Till July 30 With Revised Relaxations With Facilities.
 #BengalFightsCovid19  @RajaArunava 
@MamataOfficial
 
@sayani06
 
@abhishekaitc"
sarcastic sankar,@SankarshanTah,2021-07-14T07:38:53.000Z,,,,"Bengal has made use of every single drop of the Covid-19 
Vaccine count, thus not only preventing wastage but also extracting and administering more doses from each vial. Now WB has a negative wastage record #BengalFightsCorona
#mamatabanerjeeourpride"
Indranil Majumdar,@majumdarindra,2021-07-14T05:53:51.000Z,,,,Some valid points raised as to the origin of Covid-19.
Tirthadeep K,@TirthadeepK,2021-07-13T08:41:59.000Z,,,,"Job openings for permanent staffers to be adversely affected due to 2nd wave of COVID-19: Survey - ET https://m.economictimes.com/jobs/job-openings-for-permanent-staffers-to-be-adversely-affected-due-to-2nd-wave-of-covid-19-survey/articleshow/84171272.cms?utm_source=twitter_pwa&utm_medium=social&utm_campaign=socialsharebuttons… via 
@economictimes"
Joyjeet Paul,@johnypaul12,2021-07-13T07:47:01.000Z,,,,"J&J’s Covid-19 vaccine may trigger neurological condition in rare cases, FDA says.Reports says inoculations and Guillain-Barré syndrome, a form of progressive paralysis that is generally reversible, the FDA said in a statement. https://statnews.com/2021/07/12/jjs-covid-19-vaccine-may-trigger-neurological-condition-in-rare-cases-fda-says/… via 
@statnews
 #DHPSP #health"
ramen aditya,@AdityaRamen,2021-07-13T03:08:57.000Z,,,,"Pilgrimage, tourism can wait, IMA urges states to curb gatherings.
They expressed concern over govts and people being complacent & engaging in mass gatherings without following COVID-19 protocols, saying these events are potential super spreaders for a third wave of the pandemic."
ishtiyaque ahmed,@ishtiapil,2021-07-12T19:48:06.000Z,,,1,"West Bengal reports 885 COVID-19 cases, 11 fatalities. Infection tally rises to 15,13,014, death toll 17,927. The state now has 14,531 active cases of the disease."
Bhaskar Basu,@bhaskarnews4,2021-07-12T13:29:02.000Z,,,3,"The #NEETUG2021 will be held on 12th September 2021 across the country following COVID-19 protocols. The application process will begin from 5 pm tomorrow through the 
@DG_NTA
 website.  


@BanglaRepublic
 
@mayukhrghosh"
Yash Mody,@YashMody11,2021-07-12T10:04:50.000Z,,,,"@SonuSood
 Sir I want to make a short film & I have written a script. It's a small budget film & I would request you to produce it sir It's linked to Covid-19 & I'm sure you'll like the story. 
Please help me sir, I don't have any other hope! 


@SoodFoundation"
Bhaskar Mukherjee,@Bhaskar05033039,2021-07-12T06:21:52.000Z,,,,"Replying to 
@elizondogabriel"
Ananda Mohan Mitra,@ananda81,2021-07-11T14:33:29.000Z,3,,,"#paytm has failed to transfer #airticket cancellation amount, even after #airasia sends note to me that they have refunded the cancellation amount at the end of March 2021. The #FlightTicket was bought by me through #Paytm at the onset of #Covid in 2020. Shame #Paytm"
MD ZAHIR,@MDZAHIR72889357,2021-07-10T23:29:50.000Z,,,,Covid 19 warriors
Cricket Ki Kahani,@CricketKK_,2021-07-10T12:17:48.000Z,,,2,"The Sri Lanka  India series has been officially postponed due to positive COVID-19 cases in the Sri Lankan camp .

Here’s the revised schedule 

#CricketWithCKK | #SLvIND"
Wanderlust,@wanderlust1587,2021-07-10T08:29:06.000Z,,,,"Hey 
@BBCWorld
 Want to have a look #Covid #SocialDistancing are these terms selective in your editorial policy or modified according to your narrative?"
Abhishek chourasia,@abhi_220200,2021-07-09T14:19:04.000Z,,,4,"I will lead the charge in curbing the spread of COVID-19 in India. I pledge to be a #YoungWarrior! 

@HQ_DG_NCC
 
@nccwbskm
 
@UNICEFIndia
 
@YuWaahIndia"
Tanuj Majumdar,@tanujmajumdar,2021-07-09T09:42:19.000Z,,6,9,"Two cases of Kappa variant of COVID-19  detected in Uttar Pradesh: Official statement 
@ANI
 
@abpanandatv
 

@wbdhfw"
Asim Maiti,@AsimMaiti15,2021-07-09T07:56:17.000Z,,,,pm Modi congratulations for taking initiatives in RAPID  vaccination against COVID 19 for RAPID Vaccnation for the helpless people of the Nation in stake and protecting the Nation from the catastrophic explains of NOVEL CORONA  VIRUS. Dr Asim Maiti from Kolkata .No LOCKDOWN pl.
CEO Medium,@CEOMedium,2021-07-08T05:44:26.000Z,,,1,"Is not it mind-blowing- Leading CEO's of the world
.
.
.
.
#ceo #entrepreneur #business #motivation #success #boss #businessowner #entrepreneurship #marketing #money #founder #leadership #love #entrepreneurlife #smallbusiness #startup #hustle #inspiration #fashion #music #covid"
"Sreerupa Mitra Chaudhury Nirbhoy Didi, Legislator",@sreerupa_mitra,2021-07-07T17:48:14.000Z,,2,13,"Hon'ble 
@mansukhmandviya
 ji, on behalf of people of my constituency, I extend heartiest congratulations to you for a fantastic elevation of responsibilities. Under your vibrant leadership, I assume, our health sector will get tremendous boost and succeed in combating #Covid_19"
Rajesh Saha,@RajeshS32370756,2021-07-07T10:29:16.000Z,,,,FROM 3 SIT'S TO 77 SIT'S ACHIEVEMENT IS 1500% ABOVE && 41% PEOPLE'S COULDN'T GAVE VOTE'S FOR COVID-19 OTHERWISE #BJP 50% PAAAR .
CEO Medium,@CEOMedium,2021-07-07T08:38:26.000Z,,,1,"I was raised to be an independent woman, not the victim of anything. - 

@kamalaharris
 
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.
.

#kamalaharris #joebiden #bidenharris #usa #politics #entrepreneurlife #smallbusiness #startup #hustle #inspiration #fashion #music #covid #explorepage #bossbabe"
ANGOM RAMCHANDRA SINGH,@AngomRamchandra,2021-07-06T14:31:37.000Z,,,1,"I took the Second Jab of Covishield today (6th July, 2021).

Let's pray & hope that Covid 19 Virus will be eradicated from this World in the near future."
Lovely Sharma,@ilovelysharma,2021-07-05T17:01:40.000Z,,1,2,"I am vaccinated #covid #vaccinatedandhappy #coronavirus 

Watch full video  #COVISHIELD #CovidIndia #Vaccinateindia
#vaccinated
 https://youtu.be/zd1edIdmU9Y"
SUPRATIM KAR,@kar_evrgrn,2021-07-05T07:43:10.000Z,,,,"@dm_patna
 
@abpbihar

#ShameOnYou
I recommend watching Patna shocker: COVID-19-infected woman gangraped in hospital on ZEE5 App. Click here to watch it too https://zee5.com/videos/details/patna-shocker-covid-19-infected-woman-gangraped-in-hospital/0-0-newsauto_783k6l55rb00…"
Supratim Chakraborty,@SupratimChakr,2021-07-04T06:54:20.000Z,11,61,66,"After so many Jumlas and acute mismanagement of Covid-19 situation, this was bound to happen 

#BJPLootingIndia #bjpliesindiacries #ModiMadeDisaster #ModiBabuPetrolBekabu #BJPFailedIndia #ResignModi"
अशोक पासवान,@AshokPa72976701,2021-07-04T04:05:17.000Z,,,,"Replying to 
@_SureshOm"
Techno Crushur,@TCrushur,2021-07-04T02:38:29.000Z,,,2,Safety is most important during covid-19
Debraj Majumdar,@debraj_m,2021-07-03T05:00:59.000Z,,,2,"Proud of Bharat Biotech for Covaxin - Made in India Vaccine with unparalleled Safety from Covid’19... Jai Hind thank you 
@narendramodi
 ji... Its all your encouragement... Special thanks to all the members of 
@BharatBiotech
... Your enormous efforts made us safe "
Vishal,@vishalpatwaria,2021-07-03T04:57:41.000Z,,,,"Is that being a middle class person with a pvt. Job is a crime?
Y we are not allowed to make a pass on railwy to reach the office with ease ?
Is that our work is nt contributing in India's growth  in this difficlt Covid-19 situation ?
#piyushgoyal #railway #COVID19India #COVID19"
ramen aditya,@AdityaRamen,2021-07-03T03:10:33.000Z,,,,"16 major cities, including Delhi, Mumbai, Chennai, Bangalore, Kolkata, Pune, Ahmedabad, Varanasi, Lucknow & Surat, reported the highest COVID-19 cases and PM2.5 emissions are also higher there due to fossil fuel-based anthropogenic activities, according to a new pan-India study."
Global Skoda,@globalskoda,2021-07-02T07:35:55.000Z,,,,"Your safety is our priority. We have ensured that our dealership facilities, assure safety, health and utmost peace of mind every time you pay us a visit.

#COVID_19 #StaySafe
#globalskoda #skoda #globalskodakolkata"
Rajesh Saha,@RajeshS32370756,2021-07-02T02:25:31.000Z,1,1,1,3 te sit thake 38% koto boro achievement jano ??? R covid-19 jonnow 41% lok vote dayniee dilee 50% par hoto ..
Dr.Sujib Kar,@SujibDr,2021-07-01T20:02:07.000Z,,,,"Replying to 
@narendramodi"
Dr.Sujib Kar,@SujibDr,2021-07-01T19:50:26.000Z,,,,"Replying to 
@MamataOfficial"
The Wanderers,@bethewanderer,2021-07-01T19:40:32.000Z,,,,"As of July 1, travel restrictions do not apply for foreign travelers who can provide proof of vaccination against COVID-19 or prior COVID-19 infection.
#iceland #startplanning #travel #ItsOver"
The Wanderers,@bethewanderer,2021-07-01T19:40:31.000Z,1,,,"As of June 26, all domestic COVID-19 restrictions have been lifted in #Iceland. This means there will be no more mandatory use of masks, no social distancing rules, and no limits on the number of people gathering. So large events are back in Iceland, and we couldn't be happier!"
Subhendu Mondal,@subhendu_2016,2021-07-01T15:44:06.000Z,1,,,Our  Baranagar Municipality Administrator Mrs. Aparna Moulick goes from house to house talking to the common people who have won the covid 19 war. Inquired about people's health after post covid situation . She always works in the interest of the people.
Tirthankar Das,@tirthaMirrorNow,2021-07-01T12:55:53.000Z,,,,"Double #Covid vaccines seems to protect against #DeltaVariant variant, reports AFP news agency quoting European Medicines Agency (EMA)

#COVID19 #coronavirus #COVID19Vic #VACCINE #DeltaVariante #Delta #Corona"
Debapriya Ghosh Goswami,@RUDRAKSHADS,2021-07-01T08:29:17.000Z,1,,1,"Done with both the doses of Covid 19 vaccine.

Those who haven't got their vaccines yet please get it for yourself, your loved ones and the world...

#Vaccinated"
Kaushik Mukherjee,@kaushik2506,2021-07-01T07:02:34.000Z,,,1,"Saluting the real worriers of COVID 19….
#doctor #health #heal #positivevibes #happy #cure #faith @ Kolkata"
manoj w,@manojwow,2021-07-01T06:21:18.000Z,,,,"@HardeepSPuri
 sir passengers who have been fully vaccinated should not be going through RT - PCR formalities. It is in the best interest of all . #vaccinated #COVID"
La Fiesta Catering services,@Sudipto79,2021-07-01T04:55:59.000Z,,,,"“Warm wishes on Doctor’s Day to all the doctors who worked so hard to restore health of their patients and bring back the lost smiles during this Covid 19 Pandemic.”
Visit  https://lafiestacatering.in 
 #DoctorsDay #NationalDoctorsDay #grateful  #covid #pandemic #realheroes"
Prasanna Bachhar,@PrasannaBachha4,2021-07-01T03:59:00.000Z,,,,Happy Doctor Day All Doctor Fighting With The Covid 19 Virus.
Susanta Das,@Susanta52294337,2021-07-01T02:50:02.000Z,,,,"Replying to 
@rashtrapatibhvn"
Susanta Das,@Susanta52294337,2021-07-01T02:49:56.000Z,,,,"Replying to 
@rashtrapatibhvn"
