,tweet,language,hastags,attherate,urls,tokenized_Tweet,filteredToken
20,Temporarily closed due to pandemic #Covid_19  https://t.co/l71WUDF1WI,en,['#Covid_19'],[],['https://t.co/l71WUDF1WI'],"['Temporarily', 'closed', 'due', 'to', 'pandemic', 'Covid_19', 'https', 't.co/l71WUDF1WI']","['https', 'closed', 'Temporarily', 't.co/l71WUDF1WI', 'Covid_19', 'pandemic', 'due']"
21,"🛑🚨some very critical work by my buddy @andrabi_raiees on the #Covid’s, now infamous, spike proteins. He and his team conclude that this work may facilitate the development of new vaccines.",en,"['#Covid’s,']",['@andrabi_raiees'],[],"['🛑🚨some', 'very', 'critical', 'work', 'by', 'my', 'buddy', 'andrabi_raiees', 'on', 'the', 'Covid', '’', 's', 'now', 'infamous', 'spike', 'proteins', 'He', 'and', 'his', 'team', 'conclude', 'that', 'this', 'work', 'may', 'facilitate', 'the', 'development', 'of', 'new', 'vaccines']","['’', 'development', 'andrabi_raiees', 'infamous', 'may', 'vaccines', 'facilitate', 'conclude', '🛑🚨some', 'He', 'team', 'proteins', 'buddy', 'work', 'spike', 'new', 'Covid', 'critical']"
22,B.1.1.7 variant of COVID-19 spreading rapidly in United States  https://t.co/fiwnja3yQt #Nifty #sipgrab,en,"['#Nifty', '#sipgrab']",[],['https://t.co/fiwnja3yQt'],"['B.1.1.7', 'variant', 'of', 'COVID-19', 'spreading', 'rapidly', 'in', 'United', 'States', 'https', 't.co/fiwnja3yQt', 'Nifty', 'sipgrab']","['States', 'COVID-19', 'sipgrab', 'https', 'variant', 'spreading', 'B.1.1.7', 'United', 'rapidly', 't.co/fiwnja3yQt', 'Nifty']"
23,Request everyone in #Mumbai &amp; #Maharashtra to come forward voluntarily &amp; donate blood. We don’t have the time &amp; we don’t know what future holds for us as far as Covid is concerned. Do it &amp; do it now. @BloodDonorsIn,en,"['#Mumbai', '#Maharashtra']",['@BloodDonorsIn'],[],"['Request', 'everyone', 'in', 'Mumbai', 'amp', 'Maharashtra', 'to', 'come', 'forward', 'voluntarily', 'amp', 'donate', 'blood', 'We', 'don', '’', 't', 'have', 'the', 'time', 'amp', 'we', 'don', '’', 't', 'know', 'what', 'future', 'holds', 'for', 'us', 'as', 'far', 'as', 'Covid', 'is', 'concerned', 'Do', 'it', 'amp', 'do', 'it', 'now', 'BloodDonorsIn']","['concerned', '’', 'Request', 'far', 'Mumbai', 'forward', 'BloodDonorsIn', 'future', 'us', 'donate', 'Maharashtra', 'know', 'time', 'Do', 'come', 'everyone', 'voluntarily', 'amp', 'We', 'Covid', 'blood', 'holds']"
24,"@PMOIndia @narendramodi  @vijayrupanibjp @collectorvalsad  My impression of Government run PHC was not good but change after visiting PHC, ORVAD, UDVADA, DIST. VALSAD, GUJARAT for Covid Vaccine. Very good improvement &amp; staff. Administrative &amp; Medical staff deserve appreciation.",en,[],"['@PMOIndia', '@narendramodi', '@vijayrupanibjp', '@collectorvalsad']",[],"['PMOIndia', 'narendramodi', 'vijayrupanibjp', 'collectorvalsad', 'My', 'impression', 'of', 'Government', 'run', 'PHC', 'was', 'not', 'good', 'but', 'change', 'after', 'visiting', 'PHC', 'ORVAD', 'UDVADA', 'DIST', 'VALSAD', 'GUJARAT', 'for', 'Covid', 'Vaccine', 'Very', 'good', 'improvement', 'amp', 'staff', 'Administrative', 'amp', 'Medical', 'staff', 'deserve', 'appreciation']","['impression', 'PMOIndia', 'deserve', 'My', 'appreciation', 'vijayrupanibjp', 'Administrative', 'run', 'staff', 'collectorvalsad', 'Vaccine', 'Government', 'UDVADA', 'good', 'amp', 'VALSAD', 'Medical', 'improvement', 'change', 'PHC', 'Covid', 'DIST', 'visiting', 'narendramodi', 'GUJARAT', 'Very', 'ORVAD']"
25,@AUThackeray @mybmc Pls start COVID centers on urgent basis....,en,[],"['@AUThackeray', '@mybmc']",[],"['AUThackeray', 'mybmc', 'Pls', 'start', 'COVID', 'centers', 'on', 'urgent', 'basis']","['basis', 'Pls', 'urgent', 'COVID', 'start', 'mybmc', 'AUThackeray', 'centers']"
26,So LRH new allied building 500 beded is being emptied for covid patients Meaning all services are being withheld for covid pandemic 3rd wave  God bless us all !! #CoronaUpdate #KPKUpdates,en,"['#CoronaUpdate', '#KPKUpdates']",[],[],"['So', 'LRH', 'new', 'allied', 'building', '500', 'beded', 'is', 'being', 'emptied', 'for', 'covid', 'patients', 'Meaning', 'all', 'services', 'are', 'being', 'withheld', 'for', 'covid', 'pandemic', '3rd', 'wave', 'God', 'bless', 'us', 'all', 'CoronaUpdate', 'KPKUpdates']","['So', 'beded', 'Meaning', 'patients', 'God', 'CoronaUpdate', 'services', 'us', 'pandemic', 'covid', 'emptied', 'allied', 'LRH', '500', '3rd', 'withheld', 'wave', 'bless', 'building', 'new', 'KPKUpdates']"
27,"@A_Troglodyte_ Almost like covid but without sore throat. Headache,weakness,unusual fever.",en,[],['@A_Troglodyte_'],[],"['A_Troglodyte', 'Almost', 'like', 'covid', 'but', 'without', 'sore', 'throat', 'Headache', 'weakness', 'unusual', 'fever']","['unusual', 'Headache', 'weakness', 'Almost', 'sore', 'A_Troglodyte', 'fever', 'like', 'covid', 'without', 'throat']"
28,#enjoythejourney #Fun #covid_19 #besafe #vaccination  Tour and Traveling is most enjoyable part of life but this is unprecedented time of pandemic so #besafeeveryone.  #enjoythejourney #anatomyofaction #theofficialanatomyofaction  @Gov_of_india @iucngys @GlobalGoals  https://t.co/Xt8fJJmOJm,en,"['#enjoythejourney', '#Fun', '#covid_19', '#besafe', '#vaccination', '#besafeeveryone.', '#enjoythejourney', '#anatomyofaction', '#theofficialanatomyofaction']","['@Gov_of_india', '@iucngys', '@GlobalGoals']",['https://t.co/Xt8fJJmOJm'],"['enjoythejourney', 'Fun', 'covid_19', 'besafe', 'vaccination', 'Tour', 'and', 'Traveling', 'is', 'most', 'enjoyable', 'part', 'of', 'life', 'but', 'this', 'is', 'unprecedented', 'time', 'of', 'pandemic', 'so', 'besafeeveryone', 'enjoythejourney', 'anatomyofaction', 'theofficialanatomyofaction', 'Gov_of_india', 'iucngys', 'GlobalGoals', 'https', 't.co/Xt8fJJmOJm']","['part', 'life', 'Gov_of_india', 'enjoythejourney', 'https', 'Traveling', 'besafe', 'pandemic', 'time', 'Tour', 'Fun', 'besafeeveryone', 'GlobalGoals', 'vaccination', 'enjoyable', 'unprecedented', 'iucngys', 'covid_19', 't.co/Xt8fJJmOJm', 'theofficialanatomyofaction', 'anatomyofaction']"
29,The Skye Restaurant by Indigo Heights is sealed over #COVID19 SoPs violations.  Please report any violations #Covid_19  #Lahore  #Coronaviruspakistan #StayHome  https://t.co/arJbVQUheg,en,"['#COVID19', '#Covid_19', '#Lahore', '#Coronaviruspakistan', '#StayHome']",[],['https://t.co/arJbVQUheg'],"['The', 'Skye', 'Restaurant', 'by', 'Indigo', 'Heights', 'is', 'sealed', 'over', 'COVID19', 'SoPs', 'violations', 'Please', 'report', 'any', 'violations', 'Covid_19', 'Lahore', 'Coronaviruspakistan', 'StayHome', 'https', 't.co/arJbVQUheg']","['sealed', 'Coronaviruspakistan', 'Skye', 'https', 't.co/arJbVQUheg', 'violations', 'Covid_19', 'report', 'StayHome', 'Please', 'Indigo', 'Heights', 'The', 'Lahore', 'SoPs', 'COVID19', 'Restaurant']"
30,#yesterday on 2nd April 2021#online test #political science ou pg college secunderabad HYD#never seen like these test in online#always slides were scrolling not attempt properly due to online test is not conduct properly#covid 19  https://t.co/gWIp0xXoVu,en,"['#yesterday', '#political']",[],['https://t.co/gWIp0xXoVu'],"['yesterday', 'on', '2nd', 'April', '2021', 'online', 'test', 'political', 'science', 'ou', 'pg', 'college', 'secunderabad', 'HYD', 'never', 'seen', 'like', 'these', 'test', 'in', 'online', 'always', 'slides', 'were', 'scrolling', 'not', 'attempt', 'properly', 'due', 'to', 'online', 'test', 'is', 'not', 'conduct', 'properly', 'covid', '19', 'https', 't.co/gWIp0xXoVu']","['ou', 'yesterday', '2021', 't.co/gWIp0xXoVu', 'online', 'https', 'scrolling', 'covid', 'pg', 'seen', 'like', 'properly', 'attempt', 'always', 'science', 'never', 'conduct', 'test', 'political', 'April', '19', 'HYD', 'college', 'slides', '2nd', 'due', 'secunderabad']"
31,Hundreds of people died of Covid today It's not a small thing We got to worry We got to act,en,[],[],[],"['Hundreds', 'of', 'people', 'died', 'of', 'Covid', 'today', 'It', ""'s"", 'not', 'a', 'small', 'thing', 'We', 'got', 'to', 'worry', 'We', 'got', 'to', 'act']","['It', 'Hundreds', 'got', 'thing', 'people', 'worry', 'act', 'We', 'today', 'small', 'died', ""'s"", 'Covid']"
32,@FarooqAhmedX I lost my Covid fears last year.....not as deadly as painted,en,[],['@FarooqAhmedX'],[],"['FarooqAhmedX', 'I', 'lost', 'my', 'Covid', 'fears', 'last', 'year', 'not', 'as', 'deadly', 'as', 'painted']","['last', 'lost', 'FarooqAhmedX', 'painted', 'fears', 'deadly', 'year', 'Covid', 'I']"
33,01.04.2021 Recently #Covid+ve cases in India has shown declining trend.But past few days witnessed rise in cases;in last 24hrs rose by 72330 much higher than y'day. Total cases today:12221765; recovery so far-11474683 (93.89%); fatalities-162927 (1.33%)&amp; active - 584055 (4.78%),en,['#Covid+ve'],[],[],"['01.04.2021', 'Recently', 'Covid+ve', 'cases', 'in', 'India', 'has', 'shown', 'declining', 'trend.But', 'past', 'few', 'days', 'witnessed', 'rise', 'in', 'cases', 'in', 'last', '24hrs', 'rose', 'by', '72330', 'much', 'higher', 'than', ""y'day"", 'Total', 'cases', 'today:12221765', 'recovery', 'so', 'far-11474683', '93.89', 'fatalities-162927', '1.33', 'amp', 'active', '584055', '4.78']","['last', 'India', '93.89', '01.04.2021', 'trend.But', '1.33', 'Covid+ve', 'past', '584055', 'cases', 'Recently', '24hrs', 'shown', 'Total', 'much', 'amp', ""y'day"", 'far-11474683', '72330', '4.78', 'fatalities-162927', 'days', 'witnessed', 'higher', 'recovery', 'declining', 'today:12221765', 'active', 'rise', 'rose']"
