tweet,clean_tweet,hastags,attherate,urls,emojis
#enjoythejourney #Fun #covid_19 #besafe #vaccination  Tour and Traveling is most enjoyable part of life but this is unprecedented time of pandemic so #besafeeveryone.  #enjoythejourney #anatomyofaction #theofficialanatomyofaction  @Gov_of_india @iucngys @GlobalGoals  https://t.co/Xt8fJJmOJm, Tour and Traveling is most enjoyable part of life but this is unprecedented time of pandemic so ,"['#enjoythejourney', '#Fun', '#covid_19', '#besafe', '#vaccination', '#besafeeveryone.', '#enjoythejourney', '#anatomyofaction', '#theofficialanatomyofaction']","['@Gov_of_india', '@iucngys', '@GlobalGoals']",['https://t.co/Xt8fJJmOJm'],[]
The Skye Restaurant by Indigo Heights is sealed over #COVID19 SoPs violations.  Please report any violations #Covid_19  #Lahore  #Coronaviruspakistan #StayHome  https://t.co/arJbVQUheg,The Skye Restaurant by Indigo Heights is sealed over SoPs violations Please report any violations ,"['#COVID19', '#Covid_19', '#Lahore', '#Coronaviruspakistan', '#StayHome']",[],['https://t.co/arJbVQUheg'],[]
#yesterday on 2nd April 2021#online test #political science ou pg college secunderabad HYD#never seen like these test in online#always slides were scrolling not attempt properly due to online test is not conduct properly#covid 19  https://t.co/gWIp0xXoVu, on 2nd April 2021 test science ou pg college secunderabad HYD seen like these test in online slides were scrolling not attempt properly due to online test is not conduct properly 19 ,"['#yesterday', '#political']",[],['https://t.co/gWIp0xXoVu'],[]
Hundreds of people died of Covid today It's not a small thing We got to worry We got to act,Hundreds of people died of Covid today Its not a small thing We got to worry We got to act,[],[],[],[]
@FarooqAhmedX I lost my Covid fears last year.....not as deadly as painted, I lost my Covid fears last yearnot as deadly as painted,[],['@FarooqAhmedX'],[],[]
01.04.2021 Recently #Covid+ve cases in India has shown declining trend.But past few days witnessed rise in cases;in last 24hrs rose by 72330 much higher than y'day. Total cases today:12221765; recovery so far-11474683 (93.89%); fatalities-162927 (1.33%)&amp; active - 584055 (4.78%),01042021 Recently cases in India has shown declining trendBut past few days witnessed rise in casesin last 24hrs rose by 72330 much higher than yday Total cases today:12221765 recovery so far11474683 (9389%) fatalities162927 (133%)amp active  584055 (478%),['#Covid+ve'],[],[],[]
SOS I NEED COVID-19 HOSPITAL WITH DIALYSIS TREATMENT IN MUMBAI  WE ARE SEARCHING HOSPITAL BUT NO BEDS ARE AVAILABLE &amp; WHERE BEDS ARE AVAILABLE THEY ARE NOT ALLOWING DIALYSIS TREATMENT FOR PATIENT  #HelpMeUrgently @manoj_kotak  @OfficeofUT  @AUThackeray  @PawarSpeaks @PMOIndia,SOS I NEED COVID19 HOSPITAL WITH DIALYSIS TREATMENT IN MUMBAI WE ARE SEARCHING HOSPITAL BUT NO BEDS ARE AVAILABLE amp WHERE BEDS ARE AVAILABLE THEY ARE NOT ALLOWING DIALYSIS TREATMENT FOR PATIENT ,['#HelpMeUrgently'],"['@manoj_kotak', '@OfficeofUT', '@AUThackeray', '@PawarSpeaks', '@PMOIndia']",[],[]
ADD press release regarding current situation in K.Dhiffushi   #ADD #ADDhiffushi #ADDNGO #Dhiffushi #ADDawares #covid #covid2019 #covid19outbreak  https://t.co/eUv7EWbm78,ADD press release regarding current situation in KDhiffushi ,"['#ADD', '#ADDhiffushi', '#ADDNGO', '#Dhiffushi', '#ADDawares', '#covid', '#covid2019', '#covid19outbreak']",[],['https://t.co/eUv7EWbm78'],[]
See the Current active cases of Tamil Nadu and how rallies are going on. Now where are the Covid Protocols? Who Will answer? Elections hoge rallies hogi but exams Nahi hogi. Tyoharo par dukane band hogi.q #ElectionHongeExamnahihogi  https://t.co/YW18MxJSF6,See the Current active cases of Tamil Nadu and how rallies are going on Now where are the Covid Protocols Who Will answer Elections hoge rallies hogi but exams Nahi hogi Tyoharo par dukane band hogiq ,['#ElectionHongeExamnahihogi'],[],['https://t.co/YW18MxJSF6'],[]
@LonewolfScyther The amount of opportunities i have lost because of covid have taken mental toll on me..  https://t.co/WL0g9nYhZV, The amount of opportunities i have lost because of covid have taken mental toll on me ,[],['@LonewolfScyther'],['https://t.co/WL0g9nYhZV'],[]
Got #Vaccination of COVID-19.. ...Feeling thankful to government of india  https://t.co/I9HRdC6YHu,Got of COVID19 Feeling thankful to government of india ,['#Vaccination'],[],['https://t.co/I9HRdC6YHu'],[]
TODAY NO VENTILATOR FREE IN HOSPITAL ON EVERY VENTILATOR COVID PATIENT FAMILY PRAYING  WORSHIP FOR SAVEING LIFE JUST LISTEN THREE MINUTE VEDIO SAY WHO BECOME COVID GOD @IndoreCollector @iShankarLalwani @JansamparkMP  #COVID19 #CoronavirusPandemic   https://t.co/LexRAldGcw,TODAY NO VENTILATOR FREE IN HOSPITAL ON EVERY VENTILATOR COVID PATIENT FAMILY PRAYING WORSHIP FOR SAVEING LIFE JUST LISTEN THREE MINUTE VEDIO SAY WHO BECOME COVID GOD ,"['#COVID19', '#CoronavirusPandemic']","['@IndoreCollector', '@iShankarLalwani', '@JansamparkMP']",['https://t.co/LexRAldGcw'],[]
local council elections #LCE2021 has cured covid. 😒😂 #covid19dhifaau,local council elections has cured covid  ,"['#LCE2021', '#covid19dhifaau']",[],[],"['😒', '😂']"
@manojkjhadu @EduMinOfIndia Well that has to be followed by students when the likes of you not following Covid protocol how u expect students to do so., Well that has to be followed by students when the likes of you not following Covid protocol how u expect students to do so,[],"['@manojkjhadu', '@EduMinOfIndia']",[],[]
"@fadlism @kudanai ""Sinopharm is for the opposition and Covishield is for govt pro.""  &amp;  Covid-19 is for everyone.", Sinopharm is for the opposition and Covishield is for govt pro amp Covid19 is for everyone,[],"['@fadlism', '@kudanai']",[],[]
Just got this message from covid vaccination helpline. Such efficiency. 1 hour left in the day. Wow! 👏🏽👏🏽 @OfficialNcoc  https://t.co/OMliNrjQrF,Just got this message from covid vaccination helpline Such efficiency 1 hour left in the day Wow  ,[],['@OfficialNcoc'],['https://t.co/OMliNrjQrF'],"['👏🏽', '👏🏽']"
Europe recasts COVID-19 vaccine playbook after first-round flop  https://t.co/G6uv5yFtpg #Sipgrab #UnitingPeopleWithThePossibilities,Europe recasts COVID19 vaccine playbook after firstround flop  ,"['#Sipgrab', '#UnitingPeopleWithThePossibilities']",[],['https://t.co/G6uv5yFtpg'],[]
"As covid cases are rising in Maharashtra,But @CMofKarnataka has not given any order regarding the closure of route for people coming or going to Maharashtra .I humbly request honorable CM to please take precautionary measures to tackle the virus. @siddaramaiah  @hd_kumaraswamy",As covid cases are rising in MaharashtraBut has not given any order regarding the closure of route for people coming or going to Maharashtra I humbly request honorable CM to please take precautionary measures to tackle the virus ,[],"['@CMofKarnataka', '@siddaramaiah', '@hd_kumaraswamy']",[],[]
81300+ Covid cases today .. is Virus getting super activated or people have become reluctant and do not care about getting infected. Let's open Vaccination for all adults basis availability @drharshvardhan @PMOIndia #StaySafe #WearMask #SocialDistancing #WFH #LiveWithCare  https://t.co/MLS9POBBKb,81300+ Covid cases today  is Virus getting super activated or people have become reluctant and do not care about getting infected Lets open Vaccination for all adults basis availability ,"['#StaySafe', '#WearMask', '#SocialDistancing', '#WFH', '#LiveWithCare']","['@drharshvardhan', '@PMOIndia']",['https://t.co/MLS9POBBKb'],[]
"""France to enter a third national lockdown for four weeks amid COVID-19 surge""   https://t.co/mFZiZEbKfz",France to enter a third national lockdown for four weeks amid COVID19 surge ,[],[],['https://t.co/mFZiZEbKfz'],[]
@OfficialDMRC You are praise these thing everyday on twitter but what for them who travel daily in crowded metro. There is any covid safety measure taken by dmrc for there passenger? Metro running as the same as running before Corona period and people are traveling same too., You are praise these thing everyday on twitter but what for them who travel daily in crowded metro There is any covid safety measure taken by dmrc for there passenger Metro running as the same as running before Corona period and people are traveling same too,[],['@OfficialDMRC'],[],[]
TOI Edit Page : Covid year in review: Four areas where India acquitted itself well during the worldwide pandemic crisis  https://t.co/aTamPkYzxM,TOI Edit Page : Covid year in review: Four areas where India acquitted itself well during the worldwide pandemic crisis ,[],[],['https://t.co/aTamPkYzxM'],[]
the security was nice enough to let me take pics of the place but it’s closed rn cuz of covid :( i literally felt like i was in another world  https://t.co/0I2LZTjmYl,the security was nice enough to let me take pics of the place but it’s closed rn cuz of covid :( i literally felt like i was in another world ,[],[],['https://t.co/0I2LZTjmYl'],[]
@Asad_Umar Please close Schools And Colleges in Chiniot And Jhang as Covid Cases are increasing day by day.... People are not following any Sops....No social distancing. @Shafqat_Mahmood  @DrMuradPTI  @NCOC_Official @Asad_Umar, Please close Schools And Colleges in Chiniot And Jhang as Covid Cases are increasing day by day People are not following any SopsNo social distancing ,[],"['@Asad_Umar', '@Shafqat_Mahmood', '@DrMuradPTI', '@NCOC_Official', '@Asad_Umar']",[],[]
Congratulations @subodhagarwal Ji. This is really very kind work you have done during COVID. @ZeeNews @ashokgehlot51 @DrBDKalla @PSKhachariyawas @RajSampark,Congratulations Ji This is really very kind work you have done during COVID ,[],"['@subodhagarwal', '@ZeeNews', '@ashokgehlot51', '@DrBDKalla', '@PSKhachariyawas', '@RajSampark']",[],[]
@_VIDHUSHAK Covid, Covid,[],['@_VIDHUSHAK'],[],[]
"Total Covid Cases till date :  US : 31,175,882  Brazil : 12,753,258 India : 12,753,258  and CHINA : 90,217  Source : Worldometer !   And apparently it all started in Wuhan  #WuhanVirus",Total Covid Cases till date : US : 31175882 Brazil : 12753258 India : 12753258 and CHINA : 90217 Source : Worldometer  And apparently it all started in Wuhan ,['#WuhanVirus'],[],[],[]
"Of vaccines for which we created gaga and did publicity during elections?Are we not ready infrastructure wise even after 1year of COVID-19 that we are talking about lockdown. Lockdown is not solution,we need solution.@narendramodi @AmitShah @drharshvardhan #nightcurfew #COVID19",Of vaccines for which we created gaga and did publicity during electionsAre we not ready infrastructure wise even after 1year of COVID19 that we are talking about lockdown Lockdown is not solutionwe need solution ,"['#nightcurfew', '#COVID19']","['@AmitShah', '@drharshvardhan']",[],[]
I just don't understand the point of spending billions in producing COVID-19 vaccine if we are not able to control the virus even after 1year. We are talking about imposing lockdown and in few states it's already imposed.Then what was the point of readines and production 1/2,I just dont understand the point of spending billions in producing COVID19 vaccine if we are not able to control the virus even after 1year We are talking about imposing lockdown and in few states its already imposedThen what was the point of readines and production 1/2,[],[],[],[]
@ThatDjVega But that’s kinda always been a thing since before COVID., But that’s kinda always been a thing since before COVID,[],['@ThatDjVega'],[],[]
@uditprakash  And sir university is forcing us to give undertaking that mentions that university will not be responsible if anyone becomes covid positive &amp; no provision for students who miss their exams due to some emergency. Kind request Sir pls look into this matter..., And sir university is forcing us to give undertaking that mentions that university will not be responsible if anyone becomes covid positive amp no provision for students who miss their exams due to some emergency Kind request Sir pls look into this matter,[],['@uditprakash'],[],[]
Alhamdulillah got my 2nd dose of Covid 19 vaccine 2 days ago ✨  https://t.co/tIi5TNwTZ9,Alhamdulillah got my 2nd dose of Covid 19 vaccine 2 days ago  ,[],[],['https://t.co/tIi5TNwTZ9'],['✨']
A beautiful and self exploratory message... #WearAMask  #Covid_19  https://t.co/mStNaciISa,A beautiful and self exploratory message ,"['#WearAMask', '#Covid_19']",[],['https://t.co/mStNaciISa'],[]
Jay Hind....🇮🇳🇮🇳🇮🇳  #upsc #ias #ips #ifs #irs #ies #upscexam #iasofficer #ipsofficer #ssc #gk #bpsc #kpsc #ukpsc #MBBS #iasmotivation #gpsc #mpsc #mp #crpf #Bihar #Punjabi #IPL2021 #Covid_19 #lbsnaa #ARMY #Delhi #India  #Modi #study #student #college ❤️ Like ➡️Comment  💚follow  https://t.co/XjnfvP7k1G,Jay Hind  Like Comment follow ,"['#upsc', '#ias', '#ips', '#ifs', '#irs', '#ies', '#upscexam', '#iasofficer', '#ipsofficer', '#ssc', '#gk', '#bpsc', '#kpsc', '#ukpsc', '#MBBS', '#iasmotivation', '#gpsc', '#mpsc', '#mp', '#crpf', '#Bihar', '#Punjabi', '#IPL2021', '#Covid_19', '#lbsnaa', '#ARMY', '#Delhi', '#India', '#Modi', '#study', '#student', '#college']",[],['https://t.co/XjnfvP7k1G'],"['🇮🇳', '🇮🇳', '🇮🇳', '❤️', '➡️', '💚']"
Kindly someone explain the paradox of millions collecting in one place and the super surge of covid 19 infection. The government am sure must be aware.,Kindly someone explain the paradox of millions collecting in one place and the super surge of covid 19 infection The government am sure must be aware,[],[],[],[]
@uditprakash  And sir college administration is justifying by saying we are following all covid precautions as prescribed by govt . Few days back only examination of some students was held and it can be seen no such rules were followed.  https://t.co/xOUnOcEvXi, And sir college administration is justifying by saying we are following all covid precautions as prescribed by govt  Few days back only examination of some students was held and it can be seen no such rules were followed ,[],['@uditprakash'],['https://t.co/xOUnOcEvXi'],[]
Covid advisory panel wants Ekushey Book Fair closed to curb transmission  https://t.co/czBx0OsydN,Covid advisory panel wants Ekushey Book Fair closed to curb transmission ,[],[],['https://t.co/czBx0OsydN'],[]
